Rk,Team,Overall,Home,Road
17,Chicago Bulls,41-41,24-17,17-24
18,Memphis Grizzlies,40-42,23-18,17-24
19,Toronto Raptors,40-42,25-16,15-26
20,New Orleans Hornets,37-45,24-17,13-28
21,Indiana Pacers,32-50,23-18,Sep-32
22,Los Angeles Clippers,29-53,21-20,Aug-33
23,New York Knicks,29-53,18-23,30-Nov
24,Detroit Pistons,27-55,17-24,31-Oct
25,Philadelphia 76ers,27-55,29-Dec,15-26
26,Golden State Warriors,26-56,18-23,Aug-33
27,Washington Wizards,26-56,15-26,30-Nov
28,Sacramento Kings,25-57,18-23,Jul-34
29,Minnesota Timberwolves,15-67,31-Oct,May-36
30,New Jersey Nets,Dec-70,Aug-33,Apr-37
1,Cleveland Cavaliers,66-16,39-2,27-14
2,Los Angeles Lakers,65-17,36-5,29-12
3,Boston Celtics,62-20,35-6,27-14
4,Orlando Magic,59-23,32-9,27-14
5,Denver Nuggets,54-28,33-8,21-20
6,Portland Trail Blazers,54-28,34-7,20-21
7,San Antonio Spurs,54-28,28-13,26-15
8,Houston Rockets,53-29,33-8,20-21
9,Dallas Mavericks,50-32,32-9,18-23
10,New Orleans Hornets,49-33,28-13,21-20
11,Utah Jazz,48-34,33-8,15-26
12,Atlanta Hawks,47-35,31-10,16-25
13,Phoenix Suns,46-36,28-13,18-23
14,Miami Heat,43-39,28-13,15-26
15,Chicago Bulls,41-41,28-13,13-28
16,Philadelphia 76ers,41-41,24-17,17-24
17,Detroit Pistons,39-43,21-20,18-23
18,Indiana Pacers,36-46,25-16,30-Nov
19,Charlotte Bobcats,35-47,23-18,29-Dec
20,Milwaukee Bucks,34-48,22-19,29-Dec
21,New Jersey Nets,34-48,19-22,15-26
22,Toronto Raptors,33-49,18-23,15-26
23,New York Knicks,32-50,20-21,29-Dec
24,Golden State Warriors,29-53,21-20,Aug-33
25,Memphis Grizzlies,24-58,16-25,Aug-33
26,Minnesota Timberwolves,24-58,30-Nov,13-28
27,Oklahoma City Thunder,23-59,15-26,Aug-33
28,Los Angeles Clippers,19-63,30-Nov,Aug-33
29,Washington Wizards,19-63,13-28,Jun-35
30,Sacramento Kings,17-65,30-Nov,Jun-35
1,Boston Celtics,66-16,35-6,31-10
2,Detroit Pistons,59-23,34-7,25-16
3,Los Angeles Lakers,57-25,30-11,27-14
4,New Orleans Hornets,56-26,30-11,26-15
5,San Antonio Spurs,56-26,34-7,22-19
6,Houston Rockets,55-27,31-10,24-17
7,Phoenix Suns,55-27,30-11,25-16
8,Utah Jazz,54-28,37-4,17-24
9,Orlando Magic,52-30,25-16,27-14
10,Dallas Mavericks,51-31,34-7,17-24
11,Denver Nuggets,50-32,33-8,17-24
12,Golden State Warriors,48-34,27-14,21-20
13,Cleveland Cavaliers,45-37,27-14,18-23
14,Washington Wizards,43-39,25-16,18-23
15,Toronto Raptors,41-41,25-16,16-25
16,Portland Trail Blazers,41-41,28-13,13-28
17,Philadelphia 76ers,40-42,22-19,18-23
18,Sacramento Kings,38-44,26-15,29-Dec
19,Atlanta Hawks,37-45,25-16,29-Dec
20,Indiana Pacers,36-46,21-20,15-26
21,New Jersey Nets,34-48,21-20,13-28
22,Chicago Bulls,33-49,20-21,13-28
23,Charlotte Bobcats,32-50,21-20,30-Nov
24,Milwaukee Bucks,26-56,19-22,Jul-34
25,Los Angeles Clippers,23-59,13-28,31-Oct
26,New York Knicks,23-59,15-26,Aug-33
27,Memphis Grizzlies,22-60,14-27,Aug-33
28,Minnesota Timberwolves,22-60,15-26,Jul-34
29,Seattle SuperSonics,20-62,13-28,Jul-34
30,Miami Heat,15-67,Sep-32,Jun-35
1,Dallas Mavericks,67-15,36-5,31-10
2,Phoenix Suns,61-21,33-8,28-13
3,San Antonio Spurs,58-24,31-10,27-14
4,Detroit Pistons,53-29,26-15,27-14
5,Houston Rockets,52-30,28-13,24-17
6,Utah Jazz,51-31,31-10,20-21
7,Cleveland Cavaliers,50-32,30-11,20-21
8,Chicago Bulls,49-33,31-10,18-23
9,Toronto Raptors,47-35,30-11,17-24
10,Denver Nuggets,45-37,23-18,22-19
11,Miami Heat,44-38,27-14,17-24
12,Golden State Warriors,42-40,30-11,29-Dec
13,Los Angeles Lakers,42-40,25-16,17-24
14,New Jersey Nets,41-41,24-17,17-24
15,Washington Wizards,41-41,26-15,15-26
16,Orlando Magic,40-42,25-16,15-26
17,Los Angeles Clippers,40-42,25-16,15-26
18,New Orleans/Oklahoma City Hornets,39-43,24-17,15-26
19,Indiana Pacers,35-47,22-19,13-28
20,Philadelphia 76ers,35-47,21-20,14-27
21,Charlotte Bobcats,33-49,20-21,13-28
22,New York Knicks,33-49,19-22,14-27
23,Sacramento Kings,33-49,20-21,13-28
24,Minnesota Timberwolves,32-50,20-21,29-Dec
25,Portland Trail Blazers,32-50,18-23,14-27
26,Seattle SuperSonics,31-51,20-21,30-Nov
27,Atlanta Hawks,30-52,18-23,29-Dec
28,Milwaukee Bucks,28-54,18-23,31-Oct
29,Boston Celtics,24-58,29-Dec,29-Dec
30,Memphis Grizzlies,22-60,14-27,Aug-33
1,Detroit Pistons,64-18,37-4,27-14
2,San Antonio Spurs,63-19,34-7,29-12
3,Dallas Mavericks,60-22,34-7,26-15
4,Phoenix Suns,54-28,31-10,23-18
5,Miami Heat,52-30,31-10,21-20
6,Cleveland Cavaliers,50-32,31-10,19-22
7,Memphis Grizzlies,49-33,30-11,19-22
8,New Jersey Nets,49-33,29-12,20-21
9,Los Angeles Clippers,47-35,27-14,20-21
10,Los Angeles Lakers,45-37,27-14,18-23
11,Denver Nuggets,44-38,26-15,18-23
12,Sacramento Kings,44-38,27-14,17-24
13,Washington Wizards,42-40,27-14,15-26
14,Chicago Bulls,41-41,21-20,20-21
15,Indiana Pacers,41-41,27-14,14-27
16,Utah Jazz,41-41,22-19,19-22
17,Milwaukee Bucks,40-42,25-16,15-26
18,New Orleans/Oklahoma City Hornets,38-44,24-17,14-27
19,Philadelphia 76ers,38-44,23-18,15-26
20,Orlando Magic,36-46,26-15,31-Oct
21,Seattle SuperSonics,35-47,22-19,13-28
22,Golden State Warriors,34-48,21-20,13-28
23,Houston Rockets,34-48,15-26,19-22
24,Boston Celtics,33-49,21-20,29-Dec
25,Minnesota Timberwolves,33-49,24-17,Sep-32
26,Toronto Raptors,27-55,15-26,29-Dec
27,Atlanta Hawks,26-56,18-23,Aug-33
28,Charlotte Bobcats,26-56,17-24,Sep-32
29,New York Knicks,23-59,15-26,Aug-33
30,Portland Trail Blazers,21-61,15-26,Jun-35
1,Phoenix Suns,62-20,31-10,31-10
2,Miami Heat,59-23,35-6,24-17
3,San Antonio Spurs,59-23,38-3,21-20
4,Dallas Mavericks,58-24,29-12,29-12
5,Detroit Pistons,54-28,32-9,22-19
6,Seattle SuperSonics,52-30,26-15,26-15
7,Houston Rockets,51-31,26-15,25-16
8,Sacramento Kings,50-32,30-11,20-21
9,Denver Nuggets,49-33,31-10,18-23
10,Chicago Bulls,47-35,27-14,20-21
11,Boston Celtics,45-37,27-14,18-23
12,Memphis Grizzlies,45-37,26-15,19-22
13,Washington Wizards,45-37,29-12,16-25
14,Indiana Pacers,44-38,25-16,19-22
15,Minnesota Timberwolves,44-38,24-17,20-21
16,Philadelphia 76ers,43-39,25-16,18-23
17,New Jersey Nets,42-40,24-17,18-23
18,Cleveland Cavaliers,42-40,29-12,13-28
19,Los Angeles Clippers,37-45,27-14,31-Oct
20,Orlando Magic,36-46,24-17,29-Dec
21,Golden State Warriors,34-48,20-21,14-27
22,Los Angeles Lakers,34-48,22-19,29-Dec
23,New York Knicks,33-49,22-19,30-Nov
24,Toronto Raptors,33-49,22-19,30-Nov
25,Milwaukee Bucks,30-52,23-18,Jul-34
26,Portland Trail Blazers,27-55,18-23,Sep-32
27,Utah Jazz,26-56,18-23,Aug-33
28,Charlotte Bobcats,18-64,14-27,Apr-37
29,New Orleans Hornets,18-64,30-Nov,Jul-34
30,Atlanta Hawks,13-69,Sep-32,Apr-37
1,Indiana Pacers,61-21,34-7,27-14
2,Minnesota Timberwolves,58-24,31-10,27-14
3,San Antonio Spurs,57-25,33-8,24-17
4,Los Angeles Lakers,56-26,34-7,22-19
5,Sacramento Kings,55-27,34-7,21-20
6,Detroit Pistons,54-28,31-10,23-18
7,Dallas Mavericks,52-30,36-5,16-25
8,Memphis Grizzlies,50-32,31-10,19-22
9,New Jersey Nets,47-35,28-13,19-22
10,Houston Rockets,45-37,27-14,18-23
11,Denver Nuggets,43-39,29-12,14-27
12,Miami Heat,42-40,29-12,13-28
13,Utah Jazz,42-40,28-13,14-27
14,Milwaukee Bucks,41-41,27-14,14-27
15,New Orleans Hornets,41-41,25-16,16-25
16,Portland Trail Blazers,41-41,25-16,16-25
17,New York Knicks,39-43,23-18,16-25
18,Golden State Warriors,37-45,27-14,31-Oct
19,Seattle SuperSonics,37-45,21-20,16-25
20,Boston Celtics,36-46,19-22,17-24
21,Cleveland Cavaliers,35-47,23-18,29-Dec
22,Philadelphia 76ers,33-49,21-20,29-Dec
23,Toronto Raptors,33-49,18-23,15-26
24,Phoenix Suns,29-53,18-23,30-Nov
25,Atlanta Hawks,28-54,18-23,31-Oct
26,Los Angeles Clippers,28-54,18-23,31-Oct
27,Washington Wizards,25-57,17-24,Aug-33
28,Chicago Bulls,23-59,14-27,Sep-32
29,Orlando Magic,21-61,30-Nov,31-Oct
1,Dallas Mavericks,60-22,33-8,27-14
2,San Antonio Spurs,60-22,33-8,27-14
3,Sacramento Kings,59-23,35-6,24-17
4,Minnesota Timberwolves,51-31,33-8,18-23
5,Detroit Pistons,50-32,30-11,20-21
6,Los Angeles Lakers,50-32,31-10,19-22
7,Portland Trail Blazers,50-32,27-14,23-18
8,New Jersey Nets,49-33,33-8,16-25
9,Indiana Pacers,48-34,32-9,16-25
10,Philadelphia 76ers,48-34,25-16,23-18
11,New Orleans Hornets,47-35,29-12,18-23
12,Utah Jazz,47-35,29-12,18-23
13,Boston Celtics,44-38,25-16,19-22
14,Phoenix Suns,44-38,30-11,14-27
15,Houston Rockets,43-39,28-13,15-26
16,Milwaukee Bucks,42-40,25-16,17-24
17,Orlando Magic,42-40,26-15,16-25
18,Seattle SuperSonics,40-42,25-16,15-26
19,Golden State Warriors,38-44,24-17,14-27
20,New York Knicks,37-45,24-17,13-28
