,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,ranking
17295,Detroit_01/10/92,Detroit,1991.0,1/10/92,Portland,86-81,Regular Season,-1.5,1.0,5.0,1.0,3.5,Detroit,Portland,1.0,2.0,
17296,Detroit_01/10/95,Brooklyn,1994.0,1/10/95,@ Detroit,84-98,Regular Season,0.0,0.0,-14.0,0.0,-14.0,Detroit,Brooklyn,2.0,2.0,
17297,Detroit_01/10/97,San Antonio,1996.0,1/10/97,@ Detroit,78-84,Regular Season,,,-6.0,0.0,,Detroit,San Antonio,4.0,3.0,
17298,Detroit_01/11/03,Detroit,2002.0,1/11/03,Milwaukee,87-89,Regular Season,-5.5,0.0,-2.0,0.0,-7.5,Detroit,Milwaukee,0.0,3.0,6.0
17301,Detroit_01/11/04,Detroit,2003.0,1/11/04,Dallas,115-102,Regular Season,-4.0,1.0,13.0,1.0,9.0,Detroit,Dallas,0.0,0.0,11.0
17304,Detroit_01/11/14,Detroit,2013.0,1/11/14,Phoenix,        110-108,Regular Season,-1.5,1.0,2.0,1.0,0.5,Detroit,Phoenix,1.0,0.0,20.0
17307,Detroit_01/11/91,Detroit,1990.0,1/11/91,Portland,100-98,Regular Season,-3.5,0.0,2.0,1.0,-1.5,Detroit,Portland,2.0,1.0,
17308,Detroit_01/11/92,Detroit,1991.0,1/11/92,Brooklyn,90-88,Regular Season,-9.0,0.0,2.0,1.0,-7.0,Detroit,Brooklyn,3.0,0.0,
17309,Detroit_01/11/93,Detroit,1992.0,1/11/93,San Antonio,91-109,Regular Season,-5.0,0.0,-18.0,0.0,-23.0,Detroit,San Antonio,4.0,1.0,
17310,Detroit_01/11/94,Denver,1993.0,1/11/94,@ Detroit,94-86,Regular Season,-3.0,1.0,8.0,1.0,5.0,Detroit,Denver,0.0,0.0,
17311,Detroit_01/11/97,Detroit,1996.0,1/11/97,Utah,87-77,Regular Season,-3.5,1.0,10.0,1.0,6.5,Detroit,Utah,1.0,1.0,
17312,Detroit_01/11/98,Detroit,1997.0,1/11/98,L.A. Clippers,113-85,Regular Season,-10.0,1.0,28.0,1.0,18.0,Detroit,L.A. Clippers,2.0,0.0,
17313,Detroit_01/12/00,Detroit,1999.0,1/12/00,New York,114-108,Regular Season,-5.0,1.0,6.0,1.0,1.0,Detroit,New York,3.0,5.0,
17314,Detroit_01/12/01,San Antonio,2000.0,1/12/01,@ Detroit,111-90,Regular Season,-5.5,1.0,21.0,1.0,15.5,Detroit,San Antonio,0.0,4.0,
17315,Detroit_01/12/02,Detroit,2001.0,1/12/02,New Orleans,104-76,Regular Season,-3.5,1.0,28.0,1.0,24.5,Detroit,New Orleans,0.0,2.0,
17316,Detroit_01/12/05,Detroit,2004.0,1/12/05,New Orleans,        90-76,Regular Season,-10.5,1.0,14.0,1.0,3.5,Detroit,New Orleans,1.0,0.0,6.0
17319,Detroit_01/12/11,Memphis,2010.0,1/12/11,@ Detroit,        107-99,Regular Season,-3.0,1.0,8.0,1.0,5.0,Detroit,Memphis,1.0,2.0,16.0
17322,Detroit_01/12/13,Detroit,2012.0,1/12/13,Utah,        87-90,Regular Season,-2.5,0.0,-3.0,0.0,-5.5,Detroit,Utah,0.0,3.0,23.0
17325,Detroit_01/12/91,Detroit,1990.0,1/12/91,Miami,109-103,Regular Season,-13.5,0.0,6.0,1.0,-7.5,Detroit,Miami,0.0,1.0,
17326,Detroit_01/13/07,Detroit,2006.0,1/13/07,Boston,        81-73,Regular Season,-12.5,0.0,8.0,1.0,-4.5,Detroit,Boston,3.0,0.0,8.0
17329,Detroit_01/13/09,Detroit,2008.0,1/13/09,Charlotte,        78-80,Regular Season,-7.0,0.0,-2.0,0.0,-9.0,Detroit,Charlotte,0.0,1.0,10.0
17332,Detroit_01/13/92,Detroit,1991.0,1/13/92,Dallas,84-81,Regular Season,-12.5,0.0,3.0,1.0,-9.5,Detroit,Dallas,1.0,2.0,
17333,Detroit_01/13/93,Detroit,1992.0,1/13/93,Dallas,112-96,Regular Season,-17.0,0.0,16.0,1.0,-1.0,Detroit,Dallas,2.0,0.0,
17334,Detroit_01/13/94,New York,1993.0,1/13/94,@ Detroit,94-80,Regular Season,-6.0,1.0,14.0,1.0,8.0,Detroit,New York,0.0,3.0,
17335,Detroit_01/14/00,Detroit,1999.0,1/14/00,Washington,105-98,Regular Season,-8.0,0.0,7.0,1.0,-1.0,Detroit,Washington,1.0,0.0,
17336,Detroit_01/14/01,Portland,2000.0,1/14/01,@ Detroit,103-96,Regular Season,-6.5,1.0,7.0,1.0,0.5,Detroit,Portland,1.0,2.0,
17337,Detroit_01/14/04,Detroit,2003.0,1/14/04,Toronto,95-91,Regular Season,-7.0,0.0,4.0,1.0,-3.0,Detroit,Toronto,0.0,5.0,8.0
17340,Detroit_01/14/05,Detroit,2004.0,1/14/05,Orlando,        101-94,Regular Season,-7.0,0.0,7.0,1.0,0.0,Detroit,Orlando,1.0,0.0,6.0
17343,Detroit_01/14/06,Detroit,2005.0,1/14/06,Charlotte,        114-91,Regular Season,-16.0,1.0,23.0,1.0,7.0,Detroit,Charlotte,2.0,0.0,1.0
17346,Detroit_01/15/02,Detroit,2001.0,1/15/02,Toronto,90-92,Regular Season,-1.5,0.0,-2.0,0.0,-3.5,Detroit,Toronto,1.0,0.0,
17347,Detroit_01/15/05,Detroit,2004.0,1/15/05,Philadelphia,        99-95,Regular Season,-7.5,0.0,4.0,1.0,-3.5,Detroit,Philadelphia,0.0,4.0,6.0
17350,Detroit_01/15/07,Detroit,2006.0,1/15/07,Minnesota,        90-94,Regular Season,-2.5,0.0,-4.0,0.0,-6.5,Detroit,Minnesota,1.0,3.0,10.0
17353,Detroit_01/15/08,Detroit,2007.0,1/15/08,Toronto,        103-89,Regular Season,-7.5,1.0,14.0,1.0,6.5,Detroit,Toronto,0.0,3.0,2.0
17356,Detroit_01/15/10,New Orleans,2009.0,1/15/10,@ Detroit,        104-110,Regular Season,-2.5,0.0,-6.0,0.0,-8.5,Detroit,New Orleans,0.0,1.0,17.0
17359,Detroit_01/15/11,Detroit,2010.0,1/15/11,Sacramento,        110-106,Regular Season,-4.5,0.0,4.0,1.0,-0.5,Detroit,Sacramento,2.0,0.0,26.0
17362,Detroit_01/15/12,Detroit,2011.0,1/15/12,Golden State,        91-99,Regular Season,-4.5,0.0,-8.0,0.0,-12.5,Detroit,Golden State,3.0,0.0,28.0
17365,Detroit_01/15/98,Detroit,1997.0,1/15/98,New Orleans,95-94,Regular Season,-2.5,0.0,1.0,1.0,-1.5,Detroit,New Orleans,1.0,1.0,
17366,Detroit_01/16/04,Detroit,2003.0,1/16/04,Washington,98-77,Regular Season,-11.5,1.0,21.0,1.0,9.5,Detroit,Washington,0.0,1.0,8.0
17369,Detroit_01/16/06,Detroit,2005.0,1/16/06,Boston,        94-84,Regular Season,-11.0,0.0,10.0,1.0,-1.0,Detroit,Boston,1.0,0.0,1.0
17372,Detroit_01/16/10,Detroit,2009.0,1/16/10,New York,        94-90,Regular Season,-1.0,1.0,4.0,1.0,3.0,Detroit,New York,0.0,0.0,25.0
17375,Detroit_01/17/03,Detroit,2002.0,1/17/03,New York,99-82,Regular Season,-7.0,1.0,17.0,1.0,10.0,Detroit,New York,0.0,2.0,6.0
17378,Detroit_01/17/05,Detroit,2004.0,1/17/05,Phoenix,        94-80,Regular Season,-3.5,1.0,14.0,1.0,10.5,Detroit,Phoenix,2.0,3.0,6.0
17381,Detroit_01/17/07,Detroit,2006.0,1/17/07,Utah,        99-100,Regular Season,-3.0,0.0,-1.0,0.0,-4.0,Detroit,Utah,3.0,2.0,10.0
17384,Detroit_01/17/09,New Orleans,2008.0,1/17/09,@ Detroit,        91-85,Regular Season,-2.5,1.0,6.0,1.0,3.5,Detroit,New Orleans,0.0,0.0,8.0
17387,Detroit_01/17/11,Dallas,2010.0,1/17/11,@ Detroit,        89-103,Regular Season,-4.5,0.0,-14.0,0.0,-18.5,Detroit,Dallas,0.0,0.0,6.0
17390,Detroit_01/17/13,New York,2012.0,1/17/13,@ Detroit,        102-87,Regular Season,-5.5,1.0,15.0,1.0,9.5,Detroit,New York,0.0,0.0,7.0
17393,Detroit_01/17/14,Detroit,2013.0,1/17/14,Utah,        89-110,Regular Season,-7.0,0.0,-21.0,0.0,-28.0,Detroit,Utah,0.0,1.0,22.0
17396,Detroit_01/17/94,Utah,1993.0,1/17/94,@ Detroit,109-94,Regular Season,-5.0,1.0,15.0,1.0,10.0,Detroit,Utah,2.0,1.0,
17397,Detroit_01/18/08,Detroit,2007.0,1/18/08,Sacramento,        93-100,Regular Season,-9.5,0.0,-7.0,0.0,-16.5,Detroit,Sacramento,1.0,1.0,2.0
17400,Detroit_01/18/95,Utah,1994.0,1/18/95,@ Detroit,99-86,Regular Season,-9.5,1.0,13.0,1.0,3.5,Detroit,Utah,0.0,0.0,
17401,Detroit_01/18/96,San Antonio,1995.0,1/18/96,@ Detroit,98-100,Regular Season,-4.0,0.0,-2.0,0.0,-6.0,Detroit,San Antonio,0.0,0.0,
17402,Detroit_01/19/01,New York,2000.0,1/19/01,@ Detroit,97-91,Regular Season,-4.0,1.0,6.0,1.0,2.0,Detroit,New York,1.0,2.0,
17403,Detroit_01/19/02,Detroit,2001.0,1/19/02,Boston,94-91,Regular Season,-2.0,1.0,3.0,1.0,1.0,Detroit,Boston,0.0,1.0,
17404,Detroit_01/19/04,Detroit,2003.0,1/19/04,San Antonio,85-77,Regular Season,-2.0,1.0,8.0,1.0,6.0,Detroit,San Antonio,1.0,0.0,5.0
17407,Detroit_01/19/92,Chicago,1991.0,1/19/92,@ Detroit,87-85,Regular Season,-3.0,0.0,2.0,1.0,-1.0,Detroit,Chicago,0.0,0.0,
17408,Detroit_01/20/03,Detroit,2002.0,1/20/03,Indiana,88-78,Regular Season,-3.5,1.0,10.0,1.0,6.5,Detroit,Indiana,0.0,2.0,5.0
17411,Detroit_01/20/07,Detroit,2006.0,1/20/07,Sacramento,        91-74,Regular Season,-6.5,1.0,17.0,1.0,10.5,Detroit,Sacramento,0.0,1.0,10.0
17414,Detroit_01/20/10,Boston,2009.0,1/20/10,@ Detroit,        86-92,Regular Season,-6.0,0.0,-6.0,0.0,-12.0,Detroit,Boston,0.0,1.0,3.0
17418,Detroit_01/20/12,Memphis,2011.0,1/20/12,@ Detroit,        98-81,Regular Season,-5.0,1.0,17.0,1.0,12.0,Detroit,Memphis,0.0,2.0,17.0
17421,Detroit_01/20/13,Boston,2012.0,1/20/13,@ Detroit,        88-103,Regular Season,-2.0,0.0,-15.0,0.0,-17.0,Detroit,Boston,0.0,0.0,17.0
17425,Detroit_01/20/14,L.A. Clippers,2013.0,1/20/14,@ Detroit,        112-103,Regular Season,-3.5,1.0,9.0,1.0,5.5,Detroit,L.A. Clippers,0.0,1.0,
17427,Detroit_01/20/95,Houston,1994.0,1/20/95,@ Detroit,106-96,Regular Season,-8.0,1.0,10.0,1.0,2.0,Detroit,Houston,0.0,0.0,
17428,Detroit_01/21/01,Milwaukee,2000.0,1/21/01,@ Detroit,102-98,Regular Season,-5.5,0.0,4.0,1.0,-1.5,Detroit,Milwaukee,0.0,0.0,
17429,Detroit_01/21/02,Detroit,2001.0,1/21/02,Milwaukee,79-97,Regular Season,-1.0,0.0,-18.0,0.0,-19.0,Detroit,Milwaukee,0.0,1.0,
17430,Detroit_01/21/09,Detroit,2008.0,1/21/09,Toronto,        95-76,Regular Season,-5.5,1.0,19.0,1.0,13.5,Detroit,Toronto,0.0,0.0,11.0
17433,Detroit_01/21/12,Portland,2011.0,1/21/12,@ Detroit,        91-94,Regular Season,-6.5,0.0,-3.0,0.0,-9.5,Detroit,Portland,0.0,0.0,
17435,Detroit_01/21/91,Detroit,1990.0,1/21/91,Boston,101-90,Regular Season,-8.0,1.0,11.0,1.0,3.0,Detroit,Boston,1.0,0.0,
17436,Detroit_01/21/96,Chicago,1995.0,1/21/96,@ Detroit,111-96,Regular Season,-8.5,1.0,15.0,1.0,6.5,Detroit,Chicago,6.0,0.0,
17437,Detroit_01/22/03,Detroit,2002.0,1/22/03,Philadelphia,83-92,Regular Season,-5.0,0.0,-9.0,0.0,-14.0,Detroit,Philadelphia,0.0,2.0,5.0
17440,Detroit_01/22/05,Detroit,2004.0,1/22/05,Chicago,        89-100,Regular Season,-7.5,0.0,-11.0,0.0,-18.5,Detroit,Chicago,0.0,0.0,6.0
17443,Detroit_01/22/06,Detroit,2005.0,1/22/06,Houston,        99-97,Regular Season,-11.5,0.0,2.0,1.0,-9.5,Detroit,Houston,0.0,0.0,1.0
17446,Detroit_01/22/10,Detroit,2009.0,1/22/10,Indiana,        93-105,Regular Season,-3.5,0.0,-12.0,0.0,-15.5,Detroit,Indiana,1.0,1.0,29.0
17449,Detroit_01/22/11,Phoenix,2010.0,1/22/11,@ Detroit,        74-75,Regular Season,-1.5,0.0,-1.0,0.0,-2.5,Detroit,Phoenix,0.0,0.0,21.0
17452,Detroit_01/22/13,Detroit,2012.0,1/22/13,Orlando,        105-90,Regular Season,-4.5,1.0,15.0,1.0,10.5,Detroit,Orlando,1.0,2.0,19.0
17455,Detroit_01/23/00,Detroit,1999.0,1/23/00,Dallas,91-99,Regular Season,-3.0,0.0,-8.0,0.0,-11.0,Detroit,Dallas,1.0,0.0,
17456,Detroit_01/23/02,Minnesota,2001.0,1/23/02,@ Detroit,83-104,Regular Season,-4.5,0.0,-21.0,0.0,-25.5,Detroit,Minnesota,3.0,0.0,
17457,Detroit_01/23/09,Detroit,2008.0,1/23/09,Dallas,        91-112,Regular Season,-3.5,0.0,-21.0,0.0,-24.5,Detroit,Dallas,1.0,5.0,11.0
17460,Detroit_01/23/10,Detroit,2009.0,1/23/10,Portland,        93-97,Regular Season,-3.0,0.0,-4.0,0.0,-7.0,Detroit,Portland,0.0,0.0,29.0
17463,Detroit_01/24/01,Detroit,2000.0,1/24/01,Phoenix,73-106,Regular Season,-3.0,0.0,-33.0,0.0,-36.0,Detroit,Phoenix,2.0,1.0,
17464,Detroit_01/24/14,Detroit,2013.0,1/24/14,New Orleans,        101-103,Regular Season,-3.5,0.0,-2.0,0.0,-5.5,Detroit,New Orleans,3.0,1.0,21.0
17467,Detroit_01/24/94,Chicago,1993.0,1/24/94,@ Detroit,92-86,Regular Season,-7.5,0.0,6.0,1.0,-1.5,Detroit,Chicago,0.0,0.0,
17468,Detroit_01/24/95,Philadelphia,1994.0,1/24/95,@ Detroit,105-116,Regular Season,0.0,0.0,-11.0,0.0,-11.0,Detroit,Philadelphia,1.0,0.0,
17469,Detroit_01/24/98,Detroit,1997.0,1/24/98,New York,92-99,Regular Season,-4.0,0.0,-7.0,0.0,-11.0,Detroit,New York,2.0,0.0,
17470,Detroit_01/25/04,Detroit,2003.0,1/25/04,Atlanta,82-91,Regular Season,-11.0,0.0,-9.0,0.0,-20.0,Detroit,Atlanta,0.0,1.0,5.0
17473,Detroit_01/25/06,Detroit,2005.0,1/25/06,Milwaukee,        106-102,Regular Season,-10.5,0.0,4.0,1.0,-6.5,Detroit,Milwaukee,0.0,2.0,1.0
17476,Detroit_01/25/08,Detroit,2007.0,1/25/08,Orlando,        101-93,Regular Season,-7.0,1.0,8.0,1.0,1.0,Detroit,Orlando,1.0,0.0,2.0
17479,Detroit_01/25/09,Detroit,2008.0,1/25/09,Houston,        105-108,Regular Season,-3.0,0.0,-3.0,0.0,-6.0,Detroit,Houston,2.0,3.0,11.0
17482,Detroit_01/25/12,Miami,2011.0,1/25/12,@ Detroit,        101-98,Regular Season,-8.5,0.0,3.0,1.0,-5.5,Detroit,Miami,0.0,0.0,2.0
17485,Detroit_01/25/91,Detroit,1990.0,1/25/91,Dallas,84-82,Regular Season,-11.0,0.0,2.0,1.0,-9.0,Detroit,Dallas,0.0,0.0,
17486,Detroit_01/25/93,Phoenix,1992.0,1/25/93,@ Detroit,121-119,Regular Season,-6.0,0.0,2.0,1.0,-4.0,Detroit,Phoenix,2.0,1.0,
17487,Detroit_01/25/97,Detroit,1996.0,1/25/97,Philadelphia,104-95,Regular Season,-12.5,0.0,9.0,1.0,-3.5,Detroit,Philadelphia,1.0,0.0,
17488,Detroit_01/26/05,Detroit,2004.0,1/26/05,Denver,        87-70,Regular Season,-7.0,1.0,17.0,1.0,10.0,Detroit,Denver,0.0,0.0,5.0
17491,Detroit_01/26/07,Detroit,2006.0,1/26/07,Washington,        96-99,Regular Season,-5.0,0.0,-3.0,0.0,-8.0,Detroit,Washington,1.0,1.0,12.0
17494,Detroit_01/26/11,Denver,2010.0,1/26/11,@ Detroit,        109-100,Regular Season,-1.5,1.0,9.0,1.0,7.5,Detroit,Denver,0.0,0.0,13.0
17497,Detroit_01/26/95,Portland,1994.0,1/26/95,@ Detroit,106-89,Regular Season,-8.5,1.0,17.0,1.0,8.5,Detroit,Portland,2.0,0.0,
17498,Detroit_01/27/06,Detroit,2005.0,1/27/06,Memphis,        95-89,Regular Season,-8.0,0.0,6.0,1.0,-2.0,Detroit,Memphis,2.0,0.0,1.0
17501,Detroit_01/27/10,Memphis,2009.0,1/27/10,@ Detroit,        99-93,Regular Season,-1.5,1.0,6.0,1.0,4.5,Detroit,Memphis,0.0,3.0,12.0
17504,Detroit_01/27/12,Atlanta,2011.0,1/27/12,@ Detroit,        107-101,Regular Season,-6.0,0.0,6.0,1.0,0.0,Detroit,Atlanta,0.0,0.0,9.0
17512,Detroit_01/27/93,Boston,1992.0,1/27/93,@ Detroit,94-103,Regular Season,-3.5,0.0,-9.0,0.0,-12.5,Detroit,Boston,0.0,1.0,
17513,Detroit_01/28/03,Detroit,2002.0,1/28/03,Boston,86-83,Regular Season,-8.0,0.0,3.0,1.0,-5.0,Detroit,Boston,0.0,2.0,5.0
17516,Detroit_01/28/07,Detroit,2006.0,1/28/07,Indiana,        95-87,Regular Season,-7.5,1.0,8.0,1.0,0.5,Detroit,Indiana,2.0,1.0,12.0
17519,Detroit_01/28/14,Detroit,2013.0,1/28/14,Orlando,        103-87,Regular Season,-6.5,1.0,16.0,1.0,9.5,Detroit,Orlando,0.0,0.0,19.0
17522,Detroit_01/28/91,Detroit,1990.0,1/28/91,Washington,87-81,Regular Season,-10.0,0.0,6.0,1.0,-4.0,Detroit,Washington,1.0,1.0,
17523,Detroit_01/28/95,Miami,1994.0,1/28/95,@ Detroit,85-89,Regular Season,0.0,0.0,-4.0,0.0,-4.0,Detroit,Miami,1.0,0.0,
17524,Detroit_01/28/98,Detroit,1997.0,1/28/98,Orlando,91-86,Regular Season,-5.0,0.0,5.0,1.0,0.0,Detroit,Orlando,2.0,0.0,
17525,Detroit_01/29/00,Detroit,1999.0,1/29/00,Philadelphia,90-88,Regular Season,-3.5,0.0,2.0,1.0,-1.5,Detroit,Philadelphia,3.0,0.0,
17526,Detroit_01/29/05,Detroit,2004.0,1/29/05,New York,        91-61,Regular Season,-9.5,1.0,30.0,1.0,20.5,Detroit,New York,1.0,0.0,5.0
17529,Detroit_01/29/06,Detroit,2005.0,1/29/06,L.A. Lakers,        102-93,Regular Season,-9.5,0.0,9.0,1.0,-0.5,Detroit,L.A. Lakers,2.0,2.0,1.0
17532,Detroit_01/29/10,Miami,2009.0,1/29/10,@ Detroit,        92-65,Regular Season,-2.0,1.0,27.0,1.0,25.0,Detroit,Miami,0.0,4.0,17.0
17535,Detroit_01/29/13,Milwaukee,2012.0,1/29/13,@ Detroit,        117-90,Regular Season,-1.5,1.0,27.0,1.0,25.5,Detroit,Milwaukee,1.0,0.0,13.0
17538,Detroit_01/29/92,Detroit,1991.0,1/29/92,Cleveland,90-95,Regular Season,-3.5,0.0,-5.0,0.0,-8.5,Detroit,Cleveland,0.0,1.0,
17539,Detroit_01/29/93,Detroit,1992.0,1/29/93,Minnesota,112-103,Regular Season,-7.5,1.0,9.0,1.0,1.5,Detroit,Minnesota,0.0,1.0,
17540,Detroit_01/29/97,Detroit,1996.0,1/29/97,Portland,98-89,Regular Season,-8.5,1.0,9.0,1.0,0.5,Detroit,Portland,0.0,0.0,
17541,Detroit_01/30/02,Detroit,2001.0,1/30/02,Atlanta,88-71,Regular Season,-8.5,1.0,17.0,1.0,8.5,Detroit,Atlanta,0.0,0.0,
17542,Detroit_01/30/09,Boston,2008.0,1/30/09,@ Detroit,        86-78,Regular Season,-5.5,1.0,8.0,1.0,2.5,Detroit,Boston,0.0,0.0,4.0
17545,Detroit_01/30/91,Detroit,1990.0,1/30/91,Cleveland,93-84,Regular Season,-10.0,0.0,9.0,1.0,-1.0,Detroit,Cleveland,0.0,0.0,
17546,Detroit_01/30/95,Detroit,1994.0,1/30/95,L.A. Clippers,102-95,Regular Season,-4.5,1.0,7.0,1.0,2.5,Detroit,L.A. Clippers,0.0,0.0,
17547,Detroit_01/30/98,Detroit,1997.0,1/30/98,Washington,95-102,Regular Season,-3.5,0.0,-7.0,0.0,-10.5,Detroit,Washington,1.0,0.0,
17548,Detroit_01/31/04,Detroit,2003.0,1/31/04,Memphis,80-78,Regular Season,-5.5,0.0,2.0,1.0,-3.5,Detroit,Memphis,2.0,0.0,4.0
17551,Detroit_01/31/08,Detroit,2007.0,1/31/08,L.A. Lakers,        90-89,Regular Season,-8.5,0.0,1.0,1.0,-7.5,Detroit,L.A. Lakers,1.0,3.0,5.0
17554,Detroit_01/31/10,Orlando,2009.0,1/31/10,@ Detroit,        91-86,Regular Season,-4.5,1.0,5.0,1.0,0.5,Detroit,Orlando,1.0,2.0,7.0
17557,Detroit_01/31/92,Detroit,1991.0,1/31/92,Miami,109-98,Regular Season,-9.0,1.0,11.0,1.0,2.0,Detroit,Miami,0.0,1.0,
17558,Detroit_01/31/94,Cleveland,1993.0,1/31/94,@ Detroit,107-103,Regular Season,-5.0,0.0,4.0,1.0,-1.0,Detroit,Cleveland,0.0,1.0,
17559,Detroit_02/01/02,Detroit,2001.0,2/1/02,Orlando,83-85,Regular Season,-4.0,0.0,-2.0,0.0,-6.0,Detroit,Orlando,1.0,2.0,
17560,Detroit_02/01/03,Detroit,2002.0,2/1/03,Brooklyn,106-84,Regular Season,-8.5,1.0,22.0,1.0,13.5,Detroit,Brooklyn,0.0,0.0,5.0
17563,Detroit_02/01/06,Detroit,2005.0,2/1/06,Minnesota,        90-74,Regular Season,-8.5,1.0,16.0,1.0,7.5,Detroit,Minnesota,2.0,0.0,1.0
17566,Detroit_02/01/09,Cleveland,2008.0,2/1/09,@ Detroit,        90-80,Regular Season,-4.5,1.0,10.0,1.0,5.5,Detroit,Cleveland,0.0,3.0,2.0
17569,Detroit_02/01/13,Detroit,2012.0,2/1/13,Cleveland,        117-99,Regular Season,-4.5,1.0,18.0,1.0,13.5,Detroit,Cleveland,0.0,1.0,19.0
17572,Detroit_02/01/14,Detroit,2013.0,2/1/14,Philadelphia,        113-96,Regular Season,-10.0,1.0,17.0,1.0,7.0,Detroit,Philadelphia,1.0,2.0,19.0
17575,Detroit_02/01/96,Indiana,1995.0,2/1/96,@ Detroit,70-87,Regular Season,,,-17.0,0.0,,Detroit,Indiana,2.0,0.0,
17576,Detroit_02/02/00,Sacramento,1999.0,2/2/00,@ Detroit,113-110,Regular Season,,,3.0,1.0,,Detroit,Sacramento,1.0,1.0,
17577,Detroit_02/02/01,Detroit,2000.0,2/2/01,Boston,95-102,Regular Season,-5.5,0.0,-7.0,0.0,-12.5,Detroit,Boston,0.0,0.0,
17578,Detroit_02/02/05,Detroit,2004.0,2/2/05,Atlanta,        99-84,Regular Season,-13.0,1.0,15.0,1.0,2.0,Detroit,Atlanta,2.0,0.0,10.0
17581,Detroit_02/02/07,Detroit,2006.0,2/2/07,Milwaukee,        96-86,Regular Season,-11.0,0.0,10.0,1.0,-1.0,Detroit,Milwaukee,3.0,0.0,9.0
17584,Detroit_02/02/11,Detroit,2010.0,2/2/11,Charlotte,        87-97,Regular Season,-2.0,0.0,-10.0,0.0,-12.0,Detroit,Charlotte,5.0,0.0,23.0
17587,Detroit_02/02/94,Detroit,1993.0,2/2/94,Milwaukee,104-90,Regular Season,-3.0,1.0,14.0,1.0,11.0,Detroit,Milwaukee,0.0,2.0,
17588,Detroit_02/02/95,Cleveland,1994.0,2/2/95,@ Detroit,83-85,Regular Season,-3.0,0.0,-2.0,0.0,-5.0,Detroit,Cleveland,5.0,1.0,
17589,Detroit_02/02/97,Detroit,1996.0,2/2/97,Phoenix,97-106,Regular Season,-10.5,0.0,-9.0,0.0,-19.5,Detroit,Phoenix,2.0,0.0,
17590,Detroit_02/03/04,Detroit,2003.0,2/3/04,Cleveland,82-85,Regular Season,-6.0,0.0,-3.0,0.0,-9.0,Detroit,Cleveland,1.0,0.0,7.0
17593,Detroit_02/03/08,Detroit,2007.0,2/3/08,Dallas,        90-67,Regular Season,-5.5,1.0,23.0,1.0,17.5,Detroit,Dallas,1.0,3.0,5.0
17596,Detroit_02/03/12,Milwaukee,2011.0,2/3/12,@ Detroit,        80-88,Regular Season,-4.5,0.0,-8.0,0.0,-12.5,Detroit,Milwaukee,0.0,2.0,19.0
17599,Detroit_02/03/13,L.A. Lakers,2012.0,2/3/13,@ Detroit,        98-97,Regular Season,-3.0,0.0,1.0,1.0,-2.0,Detroit,L.A. Lakers,1.0,3.0,
17601,Detroit_02/03/91,Detroit,1990.0,2/3/91,Phoenix,97-112,Regular Season,-3.5,0.0,-15.0,0.0,-18.5,Detroit,Phoenix,0.0,0.0,
17602,Detroit_02/03/96,Sacramento,1995.0,2/3/96,@ Detroit,94-85,Regular Season,,,9.0,1.0,,Detroit,Sacramento,0.0,0.0,
17603,Detroit_02/04/00,Detroit,1999.0,2/4/00,Cleveland,105-96,Regular Season,-3.0,1.0,9.0,1.0,6.0,Detroit,Cleveland,0.0,1.0,
17604,Detroit_02/04/09,Detroit,2008.0,2/4/09,Miami,        93-90,Regular Season,-4.5,0.0,3.0,1.0,-1.5,Detroit,Miami,1.0,0.0,18.0
17607,Detroit_02/04/11,Detroit,2010.0,2/4/11,Brooklyn,        92-82,Regular Season,-5.0,1.0,10.0,1.0,5.0,Detroit,Brooklyn,2.0,1.0,23.0
17610,Detroit_02/04/12,New Orleans,2011.0,2/4/12,@ Detroit,        87-89,Regular Season,-1.0,0.0,-2.0,0.0,-3.0,Detroit,New Orleans,0.0,3.0,25.0
17613,Detroit_02/04/94,Oklahoma City,1993.0,2/4/94,@ Detroit,108-84,Regular Season,-9.0,1.0,24.0,1.0,15.0,Detroit,Oklahoma City,0.0,0.0,
17614,Detroit_02/04/95,Detroit,1994.0,2/4/95,Atlanta,84-78,Regular Season,-1.5,1.0,6.0,1.0,4.5,Detroit,Atlanta,0.0,1.0,
17615,Detroit_02/05/02,Detroit,2001.0,2/5/02,Philadelphia,86-82,Regular Season,-2.0,1.0,4.0,1.0,2.0,Detroit,Philadelphia,1.0,1.0,
17616,Detroit_02/05/03,Detroit,2002.0,2/5/03,L.A. Clippers,89-80,Regular Season,-7.0,1.0,9.0,1.0,2.0,Detroit,L.A. Clippers,2.0,2.0,3.0
17619,Detroit_02/05/91,Detroit,1990.0,2/5/91,Philadelphia,107-98,Regular Season,-4.0,1.0,9.0,1.0,5.0,Detroit,Philadelphia,0.0,0.0,
17620,Detroit_02/05/92,Detroit,1991.0,2/5/92,Milwaukee,102-94,Regular Season,-8.0,0.0,8.0,1.0,0.0,Detroit,Milwaukee,1.0,0.0,
17621,Detroit_02/05/94,Brooklyn,1993.0,2/5/94,@ Detroit,107-100,Regular Season,-4.5,1.0,7.0,1.0,2.5,Detroit,Brooklyn,0.0,0.0,
17622,Detroit_02/05/98,Houston,1997.0,2/5/98,@ Detroit,92-104,Regular Season,-1.0,0.0,-12.0,0.0,-13.0,Detroit,Houston,1.0,0.0,
