,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,ranking
104,Atlanta_01/07/12,Chicago,2011.0,1/7/12,@ Atlanta,        94-109,Regular Season,-6.0,0.0,-15.0,0.0,-21.0,Atlanta,Chicago,0.0,0.0,2.0
107,Atlanta_01/07/94,Atlanta,1993.0,1/7/94,Portland,100-85,Regular Season,-8.5,1.0,15.0,1.0,6.5,Atlanta,Portland,3.0,2.0,
108,Atlanta_01/07/95,Atlanta,1994.0,1/7/95,Brooklyn,102-85,Regular Season,-5.0,1.0,17.0,1.0,12.0,Atlanta,Brooklyn,4.0,0.0,
109,Atlanta_01/07/97,Atlanta,1996.0,1/7/97,Phoenix,105-103,Regular Season,-8.5,0.0,2.0,1.0,-6.5,Atlanta,Phoenix,5.0,4.0,
110,Atlanta_01/08/02,Portland,2001.0,1/8/02,@ Atlanta,92-101,Regular Season,-1.0,0.0,-9.0,0.0,-10.0,Atlanta,Portland,2.0,0.0,
111,Atlanta_01/08/03,Dallas,2002.0,1/8/03,@ Atlanta,117-99,Regular Season,-7.5,1.0,18.0,1.0,10.5,Atlanta,Dallas,3.0,1.0,1.0
114,Atlanta_01/08/10,Atlanta,2009.0,1/8/10,Boston,        93-85,Regular Season,-3.5,1.0,8.0,1.0,4.5,Atlanta,Boston,0.0,0.0,5.0
122,Atlanta_01/08/11,Atlanta,2010.0,1/8/11,Indiana,        108-93,Regular Season,-7.0,1.0,15.0,1.0,8.0,Atlanta,Indiana,1.0,0.0,11.0
130,Atlanta_01/08/14,Indiana,2013.0,1/8/14,@ Atlanta,        87-97,Regular Season,-4.0,0.0,-10.0,0.0,-14.0,Atlanta,Indiana,1.0,0.0,1.0
133,Atlanta_01/08/91,Atlanta,1990.0,1/8/91,San Antonio,109-98,Regular Season,-4.5,1.0,11.0,1.0,6.5,Atlanta,San Antonio,1.0,1.0,
134,Atlanta_01/08/94,Atlanta,1993.0,1/8/94,Cleveland,102-89,Regular Season,-6.0,1.0,13.0,1.0,7.0,Atlanta,Cleveland,3.0,0.0,
135,Atlanta_01/09/01,Oklahoma City,2000.0,1/9/01,@ Atlanta,95-86,Regular Season,-3.5,1.0,9.0,1.0,5.5,Atlanta,Oklahoma City,5.0,4.0,
136,Atlanta_01/09/08,Atlanta,2007.0,1/9/08,Cleveland,        90-81,Regular Season,-2.5,1.0,9.0,1.0,6.5,Atlanta,Cleveland,0.0,1.0,14.0
144,Atlanta_01/09/92,Atlanta,1991.0,1/9/92,Dallas,124-108,Regular Season,-10.0,1.0,16.0,1.0,6.0,Atlanta,Dallas,0.0,1.0,
145,Atlanta_01/09/96,Atlanta,1995.0,1/9/96,Sacramento,104-88,Regular Season,-1.5,1.0,16.0,1.0,14.5,Atlanta,Sacramento,1.0,1.0,
146,Atlanta_01/09/98,Atlanta,1997.0,1/9/98,Washington,82-77,Regular Season,-4.0,1.0,5.0,1.0,1.0,Atlanta,Washington,3.0,0.0,
147,Atlanta_01/10/03,Houston,2002.0,1/10/03,@ Atlanta,75-84,Regular Season,-5.5,0.0,-9.0,0.0,-14.5,Atlanta,Houston,0.0,1.0,12.0
150,Atlanta_01/10/06,Atlanta,2005.0,1/10/06,Boston,        94-98,Regular Season,-2.5,0.0,-4.0,0.0,-6.5,Atlanta,Boston,0.0,1.0,29.0
158,Atlanta_01/10/07,Atlanta,2006.0,1/10/07,New Orleans,        77-96,Regular Season,-5.5,0.0,-19.0,0.0,-24.5,Atlanta,New Orleans,0.0,0.0,30.0
166,Atlanta_01/10/14,Houston,2013.0,1/10/14,@ Atlanta,        80-83,Regular Season,-2.5,0.0,-3.0,0.0,-5.5,Atlanta,Houston,4.0,0.0,7.0
169,Atlanta_01/11/01,Atlanta,2000.0,1/11/01,Golden State,107-96,Regular Season,-4.5,1.0,11.0,1.0,6.5,Atlanta,Golden State,2.0,0.0,
170,Atlanta_01/11/03,Atlanta,2002.0,1/11/03,New Orleans,87-80,Regular Season,-2.0,1.0,7.0,1.0,5.0,Atlanta,New Orleans,0.0,1.0,21.0
174,Atlanta_01/11/05,Milwaukee,2004.0,1/11/05,@ Atlanta,        80-103,Regular Season,-4.0,0.0,-23.0,0.0,-27.0,Atlanta,Milwaukee,4.0,1.0,26.0
