,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak
42,Atlanta_01/08/14,Indiana,2013,1/8/14,@ Atlanta,        87-97,Regular Season,-4,0,-10,0,-14,Atlanta,Indiana,1,0
43,Atlanta_01/08/91,Atlanta,1990,1/8/91,San Antonio,109-98,Regular Season,-4.5,1,11,1,6.5,Atlanta,San Antonio,1,1
44,Atlanta_01/08/94,Atlanta,1993,1/8/94,Cleveland,102-89,Regular Season,-6,1,13,1,7,Atlanta,Cleveland,3,0
45,Atlanta_01/09/01,Oklahoma City,2000,1/9/01,@ Atlanta,95-86,Regular Season,-3.5,1,9,1,5.5,Atlanta,Oklahoma City,5,4
46,Atlanta_01/09/08,Atlanta,2007,1/9/08,Cleveland,        90-81,Regular Season,-2.5,1,9,1,6.5,Atlanta,Cleveland,0,1
47,Atlanta_01/09/92,Atlanta,1991,1/9/92,Dallas,124-108,Regular Season,-10,1,16,1,6,Atlanta,Dallas,0,1
48,Atlanta_01/09/96,Atlanta,1995,1/9/96,Sacramento,104-88,Regular Season,-1.5,1,16,1,14.5,Atlanta,Sacramento,1,1
49,Atlanta_01/09/98,Atlanta,1997,1/9/98,Washington,82-77,Regular Season,-4,1,5,1,1,Atlanta,Washington,3,0
50,Atlanta_01/10/03,Houston,2002,1/10/03,@ Atlanta,75-84,Regular Season,-5.5,0,-9,0,-14.5,Atlanta,Houston,0,1
51,Atlanta_01/10/06,Atlanta,2005,1/10/06,Boston,        94-98,Regular Season,-2.5,0,-4,0,-6.5,Atlanta,Boston,0,1
52,Atlanta_01/10/07,Atlanta,2006,1/10/07,New Orleans,        77-96,Regular Season,-5.5,0,-19,0,-24.5,Atlanta,New Orleans,0,0
53,Atlanta_01/10/14,Houston,2013,1/10/14,@ Atlanta,        80-83,Regular Season,-2.5,0,-3,0,-5.5,Atlanta,Houston,4,0
54,Atlanta_01/11/01,Atlanta,2000,1/11/01,Golden State,107-96,Regular Season,-4.5,1,11,1,6.5,Atlanta,Golden State,2,0
55,Atlanta_01/11/03,Atlanta,2002,1/11/03,New Orleans,87-80,Regular Season,-2,1,7,1,5,Atlanta,New Orleans,0,1
56,Atlanta_01/11/05,Milwaukee,2004,1/11/05,@ Atlanta,        80-103,Regular Season,-4,0,-23,0,-27,Atlanta,Milwaukee,4,1
57,Atlanta_01/11/08,Atlanta,2007,1/11/08,Washington,        98-102,Regular Season,-2.5,0,-4,0,-6.5,Atlanta,Washington,0,2
58,Atlanta_01/11/09,Atlanta,2008,1/11/09,Philadelphia,        94-109,Regular Season,-5.5,0,-15,0,-20.5,Atlanta,Philadelphia,0,0
59,Atlanta_01/11/13,Atlanta,2012,1/11/13,Utah,        103-95,Regular Season,-4.5,1,8,1,3.5,Atlanta,Utah,0,0
60,Atlanta_01/11/97,San Antonio,1996,1/11/97,@ Atlanta,82-87,Regular Season,,,-5,0,,Atlanta,San Antonio,3,1
61,Atlanta_01/12/02,Boston,2001,1/12/02,@ Atlanta,115-91,Regular Season,-1,1,24,1,23,Atlanta,Boston,0,3
62,Atlanta_01/12/07,Detroit,2006,1/12/07,@ Atlanta,        93-99,Regular Season,-7.5,0,-6,0,-13.5,Atlanta,Detroit,3,0
63,Atlanta_01/12/12,Atlanta,2011,1/12/12,Charlotte,        111-81,Regular Season,-7.5,1,30,1,22.5,Atlanta,Charlotte,2,2
64,Atlanta_01/12/93,Golden State,1992,1/12/93,@ Atlanta,118-126,Regular Season,-2.5,0,-8,0,-10.5,Atlanta,Golden State,0,0
65,Atlanta_01/12/94,Atlanta,1993,1/12/94,Chicago,92-81,Regular Season,-4.5,1,11,1,6.5,Atlanta,Chicago,1,2
66,Atlanta_01/13/01,Atlanta,2000,1/13/01,L.A. Clippers,108-88,Regular Season,-4.5,1,20,1,15.5,Atlanta,L.A. Clippers,2,0
67,Atlanta_01/13/04,San Antonio,2003,1/13/04,@ Atlanta,77-86,Regular Season,-8.5,0,-9,0,-17.5,Atlanta,San Antonio,0,3
68,Atlanta_01/13/08,Atlanta,2007,1/13/08,Chicago,        105-84,Regular Season,-4,1,21,1,17,Atlanta,Chicago,0,1
69,Atlanta_01/13/10,Atlanta,2009,1/13/10,Washington,        94-82,Regular Season,-11,1,12,1,1,Atlanta,Washington,0,0
70,Atlanta_01/13/95,Orlando,1994,1/13/95,@ Atlanta,101-96,Regular Season,-5,0,5,1,0,Atlanta,Orlando,0,1
71,Atlanta_01/13/96,Atlanta,1995,1/13/96,Boston,108-105,Regular Season,-8,0,3,1,-5,Atlanta,Boston,0,0
72,Atlanta_01/14/06,Washington,2005,1/14/06,@ Atlanta,        114-106,Regular Season,-2.5,1,8,1,5.5,Atlanta,Washington,1,0
73,Atlanta_01/14/12,Atlanta,2011,1/14/12,Minnesota,        93-91,Regular Season,-6.5,0,2,1,-4.5,Atlanta,Minnesota,1,2
74,Atlanta_01/14/91,Atlanta,1990,1/14/91,New York,96-82,Regular Season,-8.5,1,14,1,5.5,Atlanta,New York,0,0
75,Atlanta_01/14/92,Atlanta,1991,1/14/92,Milwaukee,93-88,Regular Season,-3.5,1,5,1,1.5,Atlanta,Milwaukee,1,0
76,Atlanta_01/14/93,Atlanta,1992,1/14/93,Detroit,108-91,Regular Season,-3,1,17,1,14,Atlanta,Detroit,2,2
77,Atlanta_01/14/94,Atlanta,1993,1/14/94,Dallas,113-96,Regular Season,-15,1,17,1,2,Atlanta,Dallas,3,0
78,Atlanta_01/14/97,Atlanta,1996,1/14/97,Minnesota,95-93,Regular Season,-8.5,0,2,1,-6.5,Atlanta,Minnesota,4,0
79,Atlanta_01/14/98,Atlanta,1997,1/14/98,Dallas,108-82,Regular Season,-11,1,26,1,15,Atlanta,Dallas,5,0
80,Atlanta_01/15/00,Atlanta,1999,1/15/00,Philadelphia,98-101,Regular Season,-2,0,-3,0,-5,Atlanta,Philadelphia,6,0
81,Atlanta_01/15/01,Atlanta,2000,1/15/01,Brooklyn,78-84,Regular Season,-3.5,0,-6,0,-9.5,Atlanta,Brooklyn,0,0
