,Team,Pts
1,Dortmund1112,81
2,Bayern Munich1112,73
3,Schalke 041112,64
4,M'gladbach1112,60
5,Leverkusen1112,54
6,Stuttgart1112,53
7,Hannover1112,48
8,Wolfsburg1112,44
9,Werder Bremen1112,42
10,Nurnberg1112,42
11,Hoffenheim1112,41
12,Freiburg1112,40
13,Mainz1112,39
14,Augsburg1112,38
15,Hamburg1112,36
16,Hertha1112,31
17,FC Koln1112,30
18,Kaiserslautern1112,23
