,Team,Pts
1,Wolfsburg0809,69
2,Bayern Munich0809,67
3,Stuttgart0809,64
4,Hertha0809,63
5,Hamburg0809,61
6,Dortmund0809,59
7,Hoffenheim0809,55
8,Schalke 040809,50
9,Leverkusen0809,49
10,Werder Bremen0809,45
11,Hannover0809,40
12,FC Koln0809,39
13,Ein Frankfurt0809,33
14,Bochum0809,32
15,M'gladbach0809,31
16,Cottbus0809,30
17,Karlsruhe0809,29
18,Bielefeld0809,28
