,Team,Pts
1,Bayern Munich0708,76
2,Werder Bremen0708,66
3,Schalke 040708,64
4,Hamburg0708,54
5,Wolfsburg0708,54
6,Stuttgart0708,52
7,Leverkusen0708,51
8,Hannover0708,49
9,Ein Frankfurt0708,46
10,Hertha0708,44
11,Karlsruhe0708,43
12,Bochum0708,41
13,Dortmund0708,40
14,Cottbus0708,36
15,Bielefeld0708,34
16,Nurnberg0708,31
17,Hansa Rostock0708,30
18,Duisburg0708,29
