,Team,Pts
1,Man United0607,89
2,Chelsea0607,83
3,Arsenal0607,68
4,Liverpool0607,68
5,Tottenham0607,60
6,Everton0607,58
7,Bolton0607,56
8,Reading0607,55
9,Portsmouth0607,54
10,Blackburn0607,52
11,Aston Villa0607,50
12,Middlesbrough0607,46
13,Newcastle0607,43
14,Man City0607,42
15,West Ham0607,41
16,Fulham0607,39
17,Wigan0607,38
18,Sheffield United0607,38
19,Charlton0607,34
20,Watford0607,28
