,Team,Pts
1,Barcelona0809,87
2,Real Madrid0809,78
3,Sevilla0809,70
4,Ath Madrid0809,67
5,Villarreal0809,65
6,Valencia0809,62
7,La Coruna0809,58
8,Malaga0809,55
9,Mallorca0809,51
10,Espanol0809,47
11,Almeria0809,46
12,Santander0809,46
13,Ath Bilbao0809,44
14,Osasuna0809,43
15,Valladolid0809,43
16,Sp Gijon0809,43
17,Getafe0809,42
18,Betis0809,42
19,Numancia0809,35
20,Recreativo0809,33
