,Team,Pts
1,Man United0708,87
2,Chelsea0708,85
3,Arsenal0708,83
4,Liverpool0708,76
5,Everton0708,65
6,Aston Villa0708,60
7,Blackburn0708,58
8,Portsmouth0708,57
9,Man City0708,55
10,West Ham0708,49
11,Tottenham0708,46
12,Newcastle0708,43
13,Middlesbrough0708,42
14,Wigan0708,40
15,Sunderland0708,39
16,Bolton0708,37
17,Reading0708,36
18,Fulham0708,36
19,Birmingham0708,35
20,Derby0708,11
