,Team,Pts
1,Man United1112,89
2,Man City1112,89
3,Arsenal1112,70
4,Tottenham1112,69
5,Newcastle1112,65
6,Chelsea1112,64
7,Everton1112,56
8,Fulham1112,52
9,Liverpool1112,52
10,Norwich1112,47
11,West Brom1112,47
12,Swansea1112,47
13,Stoke1112,45
14,Sunderland1112,45
15,Wigan1112,43
16,Aston Villa1112,38
17,QPR1112,37
18,Bolton1112,36
19,Blackburn1112,31
20,Wolves1112,25
