,Team,Pts
1,Barcelona1213,100
2,Real Madrid1213,85
3,Ath Madrid1213,76
4,Sociedad1213,66
5,Valencia1213,65
6,Malaga1213,57
7,Betis1213,56
8,Vallecano1213,53
9,Sevilla1213,50
10,Getafe1213,47
11,Levante1213,46
12,Ath Bilbao1213,45
13,Espanol1213,44
14,Valladolid1213,43
15,Granada1213,42
16,Osasuna1213,39
17,Celta1213,37
18,Mallorca1213,36
19,La Coruna1213,35
20,Zaragoza1213,34
