,Team,Pts
1,Paris SG1314,89
2,Monaco1314,80
3,Lille1314,71
4,St Etienne1314,69
5,Lyon1314,61
6,Marseille1314,60
7,Bordeaux1314,53
8,Lorient1314,49
9,Nantes1314,49
10,Toulouse1314,49
11,Reims1314,48
12,Bastia1314,46
13,Rennes1314,46
14,Evian Thonon Gaillard1314,44
15,Montpellier1314,42
16,Guingamp1314,42
17,Nice1314,42
18,Sochaux1314,40
19,Valenciennes1314,29
20,Ajaccio1314,23
