,Team,Pts
1,Barcelona1011,96
2,Real Madrid1011,92
3,Valencia1011,71
4,Villarreal1011,62
5,Ath Madrid1011,58
6,Sevilla1011,58
7,Ath Bilbao1011,58
8,Espanol1011,49
9,Sp Gijon1011,47
10,Osasuna1011,47
11,Malaga1011,46
12,Santander1011,46
13,Sociedad1011,45
14,Levante1011,45
15,Zaragoza1011,45
16,Mallorca1011,44
17,Getafe1011,44
18,La Coruna1011,43
19,Hercules1011,35
20,Almeria1011,30
