,Team,Pts
1,Bayern Munich0910,70
2,Schalke 040910,65
3,Werder Bremen0910,61
4,Leverkusen0910,59
5,Dortmund0910,57
6,Stuttgart0910,55
7,Hamburg0910,52
8,Wolfsburg0910,50
9,Mainz0910,47
10,Ein Frankfurt0910,46
11,Hoffenheim0910,42
12,M'gladbach0910,39
13,FC Koln0910,38
14,Freiburg0910,35
15,Hannover0910,33
16,Nurnberg0910,31
17,Bochum0910,28
18,Hertha0910,24
