,Team,Pts
1,QPR1011,88
2,Norwich1011,84
3,Swansea1011,80
4,Cardiff1011,80
5,Reading1011,77
6,Nott'm Forest1011,75
7,Leeds1011,72
8,Burnley1011,68
9,Millwall1011,67
10,Leicester1011,67
11,Hull1011,65
12,Middlesbrough1011,62
13,Ipswich1011,62
14,Watford1011,61
15,Bristol City1011,60
16,Portsmouth1011,58
17,Barnsley1011,56
18,Coventry1011,55
19,Derby1011,49
20,Doncaster1011,48
21,Crystal Palace1011,48
22,Sheffield United1011,42
23,Preston1011,42
24,Scunthorpe1011,42
