,Team,Pts
1,Bayern Munich1213,91
2,Dortmund1213,66
3,Leverkusen1213,65
4,Schalke 041213,55
5,Freiburg1213,51
6,Ein Frankfurt1213,51
7,Hamburg1213,48
8,M'gladbach1213,47
9,Hannover1213,45
10,Nurnberg1213,44
11,Wolfsburg1213,43
12,Stuttgart1213,43
13,Mainz1213,42
14,Werder Bremen1213,34
15,Augsburg1213,33
16,Hoffenheim1213,31
17,Fortuna Dusseldorf1213,30
18,Greuther Furth1213,21
