,Team,Pts
1,Montpellier1112,82
2,Paris SG1112,79
3,Lille1112,74
4,Lyon1112,64
5,Bordeaux1112,61
6,Rennes1112,60
7,St Etienne1112,57
8,Toulouse1112,56
9,Evian Thonon Gaillard1112,50
10,Marseille1112,48
11,Nancy1112,45
12,Valenciennes1112,43
13,Nice1112,42
14,Sochaux1112,42
15,Brest1112,41
16,Ajaccio1112,41
17,Lorient1112,39
18,Caen1112,38
19,Dijon1112,36
20,Auxerre1112,34
