,Team,Pts
1,Lille1011,76
2,Marseille1011,68
3,Lyon1011,64
4,Paris SG1011,60
5,Sochaux1011,58
6,Rennes1011,56
7,Bordeaux1011,51
8,Toulouse1011,50
9,Auxerre1011,49
10,Lorient1011,49
11,St Etienne1011,49
12,Valenciennes1011,48
13,Nancy1011,48
14,Montpellier1011,47
15,Caen1011,46
16,Nice1011,46
17,Brest1011,46
18,Monaco1011,44
19,Lens1011,35
20,Arles1011,20
