,Team,Pts
1,Lyon0708,79
2,Bordeaux0708,75
3,Marseille0708,62
4,Nancy0708,60
5,Rennes0708,58
6,St Etienne0708,58
7,Lille0708,57
8,Nice0708,55
9,Le Mans0708,53
10,Lorient0708,52
11,Caen0708,51
12,Monaco0708,47
13,Valenciennes0708,45
14,Sochaux0708,44
15,Auxerre0708,44
16,Paris SG0708,43
17,Toulouse0708,42
18,Lens0708,40
19,Strasbourg0708,35
20,Metz0708,24
