,Team,Pts
1,Man United1011,80
2,Man City1011,71
3,Chelsea1011,71
4,Arsenal1011,68
5,Tottenham1011,62
6,Liverpool1011,58
7,Everton1011,54
8,Fulham1011,49
9,Aston Villa1011,48
10,Sunderland1011,47
11,West Brom1011,47
12,Stoke1011,46
13,Newcastle1011,46
14,Bolton1011,46
15,Blackburn1011,43
16,Wigan1011,42
17,Wolves1011,40
18,Blackpool1011,39
19,Birmingham1011,39
20,West Ham1011,33
