,Team,Pts
1,Real Madrid0607,76
2,Barcelona0607,76
3,Sevilla0607,71
4,Valencia0607,66
5,Villarreal0607,62
6,Zaragoza0607,60
7,Ath Madrid0607,60
8,Recreativo0607,54
9,Getafe0607,52
10,Santander0607,50
11,Mallorca0607,49
12,Espanol0607,49
13,La Coruna0607,47
14,Osasuna0607,46
15,Levante0607,42
16,Ath Bilbao0607,40
17,Betis0607,40
18,Celta0607,39
19,Sociedad0607,35
20,Gimnastic0607,28
