,Team,Pts
15,Brighton1011,95
7,Southampton1011,92
19,Huddersfield1011,87
4,Peterboro1011,79
23,Milton Keynes Dons1011,77
13,Bournemouth1011,71
12,Leyton Orient1011,70
2,Exeter1011,70
5,Rochdale1011,68
17,Colchester1011,62
14,Brentford1011,61
0,Carlisle1011,59
1,Charlton1011,59
11,Yeovil1011,59
6,Sheffield Weds1011,58
18,Hartlepool1011,57
20,Oldham1011,56
9,Tranmere1011,56
21,Plymouth1011,52
3,Notts County1011,50
10,Walsall1011,48
22,Dag and Red1011,47
16,Bristol Rvs1011,45
8,Swindon1011,41
