,Team,Pts
1,Chelsea0910,86
2,Man United0910,85
3,Arsenal0910,75
4,Tottenham0910,70
5,Man City0910,67
6,Aston Villa0910,64
7,Liverpool0910,63
8,Everton0910,61
9,Blackburn0910,50
10,Birmingham0910,50
11,Stoke0910,47
12,Fulham0910,46
13,Sunderland0910,44
14,Bolton0910,39
15,Wolves0910,38
16,Wigan0910,36
17,West Ham0910,35
18,Hull0910,30
19,Burnley0910,30
20,Portsmouth0910,28
