,Team,Pts
9,Man United1011,80
18,Man City1011,71
3,Chelsea1011,71
10,Arsenal1011,68
5,Tottenham1011,62
8,Liverpool1011,58
12,Everton1011,54
16,Fulham1011,49
0,Aston Villa1011,48
4,Sunderland1011,47
14,West Brom1011,47
13,Stoke1011,46
17,Newcastle1011,46
2,Bolton1011,46
1,Blackburn1011,43
6,Wigan1011,42
7,Wolves1011,40
19,Blackpool1011,39
11,Birmingham1011,39
15,West Ham1011,33
