,Team,Pts
9,QPR1011,88
0,Norwich1011,84
21,Swansea1011,80
11,Cardiff1011,80
10,Reading1011,77
23,Nott'm Forest1011,75
6,Leeds1011,72
2,Burnley1011,68
17,Millwall1011,67
16,Leicester1011,67
5,Hull1011,65
7,Middlesbrough1011,62
15,Ipswich1011,62
22,Watford1011,61
1,Bristol City1011,60
18,Portsmouth1011,58
12,Barnsley1011,56
3,Coventry1011,55
13,Derby1011,49
14,Doncaster1011,48
4,Crystal Palace1011,48
20,Sheffield United1011,42
8,Preston1011,42
19,Scunthorpe1011,42
