,Team,Pts
7,Norwich0910,95
5,Leeds0910,86
18,Millwall0910,85
3,Charlton0910,84
9,Southampton0910,83
20,Swindon0910,82
16,Huddersfield0910,80
13,Colchester0910,72
1,Bristol Rvs0910,62
22,Walsall0910,62
12,Brentford0910,62
6,Milton Keynes Dons0910,60
0,Brighton0910,59
2,Carlisle0910,58
15,Hartlepool0910,53
11,Yeovil0910,53
8,Oldham0910,52
21,Tranmere0910,51
14,Exeter0910,51
17,Leyton Orient0910,51
4,Gillingham0910,50
23,Wycombe0910,45
10,Southend0910,43
19,Stockport0910,25
