,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,permalink,attendance
924,Chicago_Sunday 12/04/11,Chicago,2011,Sunday 12/04/11,Kansas City,3-10,Week 13,-9.0,0,-7,0,-16.0,Chicago,Kansas City,2,1,201112040chi,61973.0
925,Chicago_Sunday 12/05/04,Minnesota,2004,Sunday 12/05/04,@ Chicago,14-24,Week 13,-7.5,0,-10,0,-17.5,Chicago,Minnesota,-1,-1,200412050chi,
926,Chicago_Sunday 12/05/99,Green Bay,1999,Sunday 12/05/99,@ Chicago,35-19,Week 13,-3.5,1,16,1,12.5,Chicago,Green Bay,1,2,199912050chi,66944.0
927,Chicago_Sunday 12/06/09,Chicago,2009,Sunday 12/06/09,St. Louis,17-9,Week 13,-9.5,0,8,1,-1.5,Chicago,St. Louis,-1,3,200912060chi,61892.0
928,Chicago_Sunday 12/07/08,Chicago,2008,Sunday 12/07/08,Jacksonville,23-10,Week 14,-6.5,1,13,1,6.5,Chicago,Jacksonville,-1,6,200812070chi,61736.0
929,Chicago_Sunday 12/10/00,Chicago,2000,Sunday 12/10/00,New England,24-17,Week 15,-2.0,1,7,1,5.0,Chicago,New England,-2,7,200012100chi,66944.0
930,Chicago_Sunday 12/12/10,New England,2010,Sunday 12/12/10,@ Chicago,36-7,Week 14,-3.0,1,29,1,26.0,Chicago,New England,3,-3,201012120chi,62347.0
931,Chicago_Sunday 12/13/09,Green Bay,2009,Sunday 12/13/09,@ Chicago,21-14,Week 14,-4.0,1,7,1,3.0,Chicago,Green Bay,-2,-4,200912130chi,62214.0
932,Chicago_Sunday 12/14/03,Minnesota,2003,Sunday 12/14/03,@ Chicago,10-13,Week 15,-3.0,0,-3,0,-6.0,Chicago,Minnesota,1,-5,200312140chi,61804.0
933,Chicago_Sunday 12/15/02,N.Y. Jets,2002,Sunday 12/15/02,@ Chicago,13-20,Week 15,-6.5,0,-7,0,-13.5,Chicago,N.Y. Jets,4,1,200212150chi,
934,Chicago_Sunday 12/16/01,Chicago,2001,Sunday 12/16/01,Tampa Bay,27-3,Week 14,-1.5,1,24,1,22.5,Chicago,Tampa Bay,3,-1,200112160chi,
935,Chicago_Sunday 12/16/12,Green Bay,2012,Sunday 12/16/12,@ Chicago,21-13,Week 15,-3.0,1,8,1,5.0,Chicago,Green Bay,1,4,201212160chi,62534.0
936,Chicago_Sunday 12/17/06,Chicago,2006,Sunday 12/17/06,Tampa Bay,34-31,Week 15,-13.0,0,3,1,-10.0,Chicago,Tampa Bay,-2,-1,200612170chi,
937,Chicago_Sunday 12/18/11,Chicago,2011,Sunday 12/18/11,Seattle,14-38,Week 15,-3.5,0,-24,0,-27.5,Chicago,Seattle,1,2,201112180chi,61542.0
938,Chicago_Sunday 12/19/04,Chicago,2004,Sunday 12/19/04,Houston,5-24,Week 15,-1.5,0,-19,0,-20.5,Chicago,Houston,-1,-1,200412190chi,
939,Chicago_Sunday 12/19/99,Detroit,1999,Sunday 12/19/99,@ Chicago,10-28,Week 15,-3.0,0,-18,0,-21.0,Chicago,Detroit,1,-2,199912190chi,66944.0
940,Chicago_Sunday 12/21/03,Chicago,2003,Sunday 12/21/03,Washington,27-24,Week 16,-4.5,0,3,1,-1.5,Chicago,Washington,-1,-2,200312210chi,61719.0
941,Chicago_Sunday 12/23/07,Green Bay,2007,Sunday 12/23/07,@ Chicago,7-35,Week 16,-9.0,0,-28,0,-37.0,Chicago,Green Bay,1,1,200712230chi,
942,Chicago_Sunday 12/26/10,Chicago,2010,Sunday 12/26/10,N.Y. Jets,38-34,Week 16,-1.5,1,4,1,2.5,Chicago,N.Y. Jets,-1,-4,201012260chi,62310.0
943,Chicago_Sunday 12/29/13,Green Bay,2013,Sunday 12/29/13,@ Chicago,33-28,Week 17,-3.0,1,5,1,2.0,Chicago,Green Bay,-1,-3,201312290chi,62708.0
944,Chicago_Sunday 12/30/07,New Orleans,2007,Sunday 12/30/07,@ Chicago,25-33,Week 17,-1.0,0,-8,0,-9.0,Chicago,New Orleans,1,1,200712300chi,
945,Chicago_Sunday Night 02/04/07,Indianapolis,2006,Sunday Night 02/04/07,@ Chicago,29-17,Superbowl,-6.5,1,12,1,5.5,Chicago,Indianapolis,3,3,200702040chi,
946,Chicago_Sunday Night 09/23/07,Chicago,2007,Sunday Night 09/23/07,Dallas,10-34,Week 3,-3.0,0,-24,0,-27.0,Chicago,Dallas,1,1,200709230chi,
947,Chicago_Sunday Night 09/28/08,Philadelphia,2008,Sunday Night 09/28/08,@ Chicago,20-24,Week 4,-3.0,0,-4,0,-7.0,Chicago,Philadelphia,-5,-1,200809280chi,62099.0
948,Chicago_Sunday Night 10/01/06,Chicago,2006,Sunday Night 10/01/06,Seattle,37-6,Week 4,-3.5,1,31,1,27.5,Chicago,Seattle,1,2,200610010chi,
949,Chicago_Sunday Night 10/15/00,Minnesota,2000,Sunday Night 10/15/00,@ Chicago,28-16,Week 7,-7.0,1,12,1,5.0,Chicago,Minnesota,1,1,200010150chi,66944.0
950,Chicago_Sunday Night 10/16/11,Chicago,2011,Sunday Night 10/16/11,Minnesota,39-10,Week 6,-1.0,1,29,1,28.0,Chicago,Minnesota,-1,2,201110160chi,62322.0
951,Chicago_Sunday Night 10/31/04,Chicago,2004,Sunday Night 10/31/04,San Francisco,23-13,Week 8,-1.5,1,10,1,8.5,Chicago,San Francisco,1,-2,200410310chi,
952,Chicago_Sunday Night 11/11/12,Chicago,2012,Sunday Night 11/11/12,Houston,6-13,Week 10,-1.0,0,-7,0,-8.0,Chicago,Houston,-1,-3,201211110chi,62410.0
953,Chicago_Sunday Night 11/22/09,Philadelphia,2009,Sunday Night 11/22/09,@ Chicago,24-20,Week 11,-3.5,1,4,1,0.5,Chicago,Philadelphia,2,1,200911220chi,62421.0
954,Chicago_Sunday Night 12/03/00,Green Bay,2000,Sunday Night 12/03/00,@ Chicago,28-6,Week 14,-2.5,1,22,1,19.5,Chicago,Green Bay,-1,-1,200012030chi,66944.0
955,Chicago_Sunday Night 12/18/05,Chicago,2005,Sunday Night 12/18/05,Atlanta,16-3,Week 15,-3.5,1,13,1,9.5,Chicago,Atlanta,-2,1,200512180chi,
956,Chicago_Sunday Night 12/29/02,Tampa Bay,2002,Sunday Night 12/29/02,@ Chicago,15-0,Week 17,-7.5,1,15,1,7.5,Chicago,Tampa Bay,-4,-2,200212290chi,
957,Chicago_Sunday Night 12/31/06,Chicago,2006,Sunday Night 12/31/06,Green Bay,7-26,Week 17,-3.5,0,-19,0,-22.5,Chicago,Green Bay,-3,1,200612310chi,
958,Chicago_Thursday 08/07/08,Chicago,2008,Thursday 08/07/08,Kansas City,20-24,Pre-Week 1,-3.5,0,-4,0,-7.5,Chicago,Kansas City,-4,1,200808070chi,
959,Chicago_Thursday 08/09/12,Chicago,2012,Thursday 08/09/12,Denver,3-31,Pre-Week 1,-3.0,0,-28,0,-31.0,Chicago,Denver,-5,4,201208090chi,
960,Chicago_Thursday 08/14/14,Chicago,2014,Thursday 08/14/14,Jacksonville,20-19,Pre-Week 2,-3.0,0,1,1,-2.0,Chicago,Jacksonville,1,-2,201408140chi,
961,Chicago_Thursday 08/15/13,Chicago,2013,Thursday 08/15/13,San Diego,33-28,Pre-Week 2,-5.5,0,5,1,-0.5,Chicago,San Diego,2,-3,201308150chi,
962,Chicago_Thursday 08/21/08,Chicago,2008,Thursday 08/21/08,San Francisco,30-37,Pre-Week 3,-3.5,0,-7,0,-10.5,Chicago,San Francisco,3,1,200808210chi,
963,Chicago_Thursday 08/29/13,Cleveland,2013,Thursday 08/29/13,@ Chicago,18-16,Pre-Week 4,-2.0,0,2,1,0.0,Chicago,Cleveland,1,-2,201308290chi,
964,Chicago_Thursday 08/30/07,Chicago,2007,Thursday 08/30/07,Cleveland,9-19,Pre-Week 4,-3.0,0,-10,0,-13.0,Chicago,Cleveland,-3,2,200708300chi,
965,Chicago_Thursday 09/01/05,Chicago,2005,Thursday 09/01/05,Cleveland,6-16,Pre-Week 4,-1.0,0,-10,0,-11.0,Chicago,Cleveland,2,-2,200509010chi,
966,Chicago_Thursday 09/01/11,Cleveland,2011,Thursday 09/01/11,@ Chicago,14-24,Pre-Week 4,-1.0,0,-10,0,-11.0,Chicago,Cleveland,1,-1,201109010chi,
967,Chicago_Thursday 09/03/09,Chicago,2009,Thursday 09/03/09,Cleveland,26-23,Pre-Week 4,-2.5,1,3,1,0.5,Chicago,Cleveland,-1,-1,200909030chi,
968,Chicago_Thursday 10/10/13,Chicago,2013,Thursday 10/10/13,N.Y. Giants,27-21,Week 6,-9.5,0,6,1,-3.5,Chicago,N.Y. Giants,-1,2,201310100chi,62374.0
969,Chicago_Thursday 12/04/14,Dallas,2014,Thursday 12/04/14,@ Chicago,41-28,Week 14,-4.0,1,13,1,9.0,Chicago,Dallas,3,-3,201412040chi,61558.0
970,Chicago_Thursday 12/11/08,Chicago,2008,Thursday 12/11/08,New Orleans,27-24,Week 15,-3.0,0,3,1,0.0,Chicago,New Orleans,-5,-1,200812110chi,61692.0
971,Cincinnati_Friday 08/10/12,Cincinnati,2012,Friday 08/10/12,N.Y. Jets,17-6,Pre-Week 1,-1.0,1,11,1,10.0,Cincinnati,N.Y. Jets,2,1,201208100cin,
972,Cincinnati_Friday 08/12/05,Cincinnati,2005,Friday 08/12/05,New England,13-23,Pre-Week 1,-2.5,0,-10,0,-12.5,Cincinnati,New England,-1,-3,200508120cin,
973,Cincinnati_Friday 08/20/10,Cincinnati,2010,Friday 08/20/10,Philadelphia,22-9,Pre-Week 2,-2.5,1,13,1,10.5,Cincinnati,Philadelphia,2,3,201008200cin,
974,Cincinnati_Friday 08/25/00,Cincinnati,2000,Friday 08/25/00,Detroit,13-21,Pre-Week 4,-4.5,0,-8,0,-12.5,Cincinnati,Detroit,-1,3,200008250cin,
975,Cincinnati_Friday 08/31/07,Cincinnati,2007,Friday 08/31/07,Indianapolis,14-6,Pre-Week 4,-5.5,1,8,1,2.5,Cincinnati,Indianapolis,-4,-1,200708310cin,
976,Cincinnati_Friday 09/02/05,Cincinnati,2005,Friday 09/02/05,Indianapolis,38-0,Pre-Week 4,-5.5,1,38,1,32.5,Cincinnati,Indianapolis,2,-3,200509020cin,
977,Cincinnati_Friday 09/03/04,Cincinnati,2004,Friday 09/03/04,Indianapolis,16-13,Pre-Week 4,-3.0,0,3,1,0.0,Cincinnati,Indianapolis,3,-4,200409030cin,
978,Cincinnati_Friday 09/03/99,Atlanta,1999,Friday 09/03/99,@ Cincinnati,28-16,Pre-Week 4,-3.0,1,12,1,9.0,Cincinnati,Atlanta,-1,4,199909030cin,
979,Cincinnati_Monday 08/28/06,Cincinnati,2006,Monday 08/28/06,Green Bay,48-17,Pre-Week 3,-4.5,1,31,1,26.5,Cincinnati,Green Bay,-2,2,200608280cin,
980,Cincinnati_Monday 09/10/07,Cincinnati,2007,Monday 09/10/07,Baltimore,27-20,Week 1,-2.5,1,7,1,4.5,Cincinnati,Baltimore,1,4,200709100cin,
981,Cincinnati_Monday 09/16/13,Cincinnati,2013,Monday 09/16/13,Pittsburgh,20-10,Week 2,-7.0,1,10,1,3.0,Cincinnati,Pittsburgh,-1,-2,201309160cin,64585.0
982,Cincinnati_Monday 10/01/07,New England,2007,Monday 10/01/07,@ Cincinnati,34-13,Week 4,-7.5,1,21,1,13.5,Cincinnati,New England,-1,1,200710010cin,66113.0
983,Cincinnati_Monday 10/25/04,Denver,2004,Monday 10/25/04,@ Cincinnati,10-23,Week 7,-7.0,0,-13,0,-20.0,Cincinnati,Denver,-1,-1,200410250cin,
984,Cincinnati_Monday 11/08/10,Pittsburgh,2010,Monday 11/08/10,@ Cincinnati,27-21,Week 9,-5.0,1,6,1,1.0,Cincinnati,Pittsburgh,9,1,201011080cin,65626.0
985,Cincinnati_Saturday 01/09/10,Cincinnati,2009,Saturday 01/09/10,N.Y. Jets,14-24,Wildcard,-2.5,0,-10,0,-12.5,Cincinnati,N.Y. Jets,-4,4,201001090cin,63686.0
986,Cincinnati_Saturday 08/16/03,Cincinnati,2003,Saturday 08/16/03,Detroit,23-10,Pre-Week 2,-3.0,1,13,1,10.0,Cincinnati,Detroit,-7,1,200308160cin,
987,Cincinnati_Saturday 08/16/14,Cincinnati,2014,Saturday 08/16/14,N.Y. Jets,17-25,Pre-Week 2,-3.0,0,-8,0,-11.0,Cincinnati,N.Y. Jets,1,-5,201408160cin,
988,Cincinnati_Saturday 08/17/13,Cincinnati,2013,Saturday 08/17/13,Tennessee,27-19,Pre-Week 2,-2.5,1,8,1,5.5,Cincinnati,Tennessee,1,1,201308170cin,
989,Cincinnati_Saturday 08/18/07,Cincinnati,2007,Saturday 08/18/07,New Orleans,19-27,Pre-Week 2,-3.5,0,-8,0,-11.5,Cincinnati,New Orleans,2,1,200708180cin,
990,Cincinnati_Saturday 08/19/00,Cincinnati,2000,Saturday 08/19/00,Chicago,24-20,Pre-Week 3,-3.0,1,4,1,1.0,Cincinnati,Chicago,-1,1,200008190cin,
991,Cincinnati_Saturday 08/21/04,New England,2004,Saturday 08/21/04,@ Cincinnati,3-31,Pre-Week 2,-4.0,0,-28,0,-32.0,Cincinnati,New England,4,1,200408210cin,
992,Cincinnati_Saturday 08/23/03,Tennessee,2003,Saturday 08/23/03,@ Cincinnati,23-15,Pre-Week 3,-1.5,1,8,1,6.5,Cincinnati,Tennessee,1,2,200308230cin,
993,Cincinnati_Saturday 08/23/08,New Orleans,2008,Saturday 08/23/08,@ Cincinnati,13-0,Pre-Week 3,-3.0,1,13,1,10.0,Cincinnati,New Orleans,-1,-1,200808230cin,
994,Cincinnati_Saturday 08/24/02,Cincinnati,2002,Saturday 08/24/02,New Orleans,23-31,Pre-Week 3,-3.0,0,-8,0,-11.0,Cincinnati,New Orleans,-2,2,200208240cin,
995,Cincinnati_Saturday 08/25/01,Cincinnati,2001,Saturday 08/25/01,Buffalo,10-20,Pre-Week 3,-3.0,0,-10,0,-13.0,Cincinnati,Buffalo,-4,-3,200108250cin,
996,Cincinnati_Saturday 08/28/99,Buffalo,1999,Saturday 08/28/99,@ Cincinnati,30-3,Pre-Week 3,-1.0,1,27,1,26.0,Cincinnati,Buffalo,1,-7,199908280cin,
997,Cincinnati_Saturday 12/24/05,Cincinnati,2005,Saturday 12/24/05,Buffalo,27-37,Week 16,-13.5,0,-10,0,-23.5,Cincinnati,Buffalo,-9,1,200512240cin,
998,Cincinnati_Saturday 12/24/11,Cincinnati,2011,Saturday 12/24/11,Arizona,23-16,Week 16,-4.5,1,7,1,2.5,Cincinnati,Arizona,-10,1,201112240cin,41273.0
999,Cincinnati_Sunday 01/01/12,Baltimore,2011,Sunday 01/01/12,@ Cincinnati,24-16,Week 17,-2.5,1,8,1,5.5,Cincinnati,Baltimore,-2,-1,201201010cin,63439.0
1000,Cincinnati_Sunday 01/05/14,Cincinnati,2013,Sunday 01/05/14,San Diego,10-27,Wildcard,-6.5,0,-17,0,-23.5,Cincinnati,San Diego,-1,5,201401050cin,62277.0
1001,Cincinnati_Sunday 01/08/06,Pittsburgh,2005,Sunday 01/08/06,@ Cincinnati,31-17,Wildcard,-3.0,1,14,1,11.0,Cincinnati,Pittsburgh,5,1,200601080cin,
1002,Cincinnati_Sunday 09/07/03,Denver,2003,Sunday 09/07/03,@ Cincinnati,30-10,Week 1,-6.0,1,20,1,14.0,Cincinnati,Denver,-2,1,200309070cin,63820.0
1003,Cincinnati_Sunday 09/08/02,Cincinnati,2002,Sunday 09/08/02,San Diego,6-34,Week 1,-3.0,0,-28,0,-31.0,Cincinnati,San Diego,1,-4,200209080cin,53705.0
1004,Cincinnati_Sunday 09/09/01,Cincinnati,2001,Sunday 09/09/01,New England,23-17,Week 1,-1.0,1,6,1,5.0,Cincinnati,New England,-2,1,200109090cin,
1005,Cincinnati_Sunday 09/10/00,Cincinnati,2000,Sunday 09/10/00,Cleveland,7-24,Week 2,-6.0,0,-17,0,-23.0,Cincinnati,Cleveland,1,-9,200009100cin,64006.0
1006,Cincinnati_Sunday 09/13/09,Cincinnati,2009,Sunday 09/13/09,Denver,7-12,Week 1,-4.5,0,-5,0,-9.5,Cincinnati,Denver,-3,-3,200909130cin,62831.0
1007,Cincinnati_Sunday 09/14/08,Cincinnati,2008,Sunday 09/14/08,Tennessee,7-24,Week 2,-1.0,0,-17,0,-18.0,Cincinnati,Tennessee,-5,-1,200809140cin,64540.0
1008,Cincinnati_Sunday 09/14/14,Cincinnati,2014,Sunday 09/14/14,Atlanta,24-10,Week 2,-5.5,1,14,1,8.5,Cincinnati,Atlanta,-6,-2,201409140cin,58574.0
1009,Cincinnati_Sunday 09/16/12,Cincinnati,2012,Sunday 09/16/12,Cleveland,34-27,Week 2,-7.0,0,7,1,0.0,Cincinnati,Cleveland,-2,1,201209160cin,63036.0
1010,Cincinnati_Sunday 09/17/06,Cincinnati,2006,Sunday 09/17/06,Cleveland,34-17,Week 2,-10.0,1,17,1,7.0,Cincinnati,Cleveland,-1,1,200609170cin,
1011,Cincinnati_Sunday 09/18/05,Cincinnati,2005,Sunday 09/18/05,Minnesota,37-8,Week 2,-3.5,1,29,1,25.5,Cincinnati,Minnesota,1,2,200509180cin,
1012,Cincinnati_Sunday 09/19/10,Baltimore,2010,Sunday 09/19/10,@ Cincinnati,10-15,Week 2,-2.5,0,-5,0,-7.5,Cincinnati,Baltimore,1,-1,201009190cin,64071.0
1013,Cincinnati_Sunday 09/19/99,Cincinnati,1999,Sunday 09/19/99,San Diego,7-34,Week 2,-1.0,0,-27,0,-28.0,Cincinnati,San Diego,1,1,199909190cin,47660.0
1014,Cincinnati_Sunday 09/21/03,Pittsburgh,2003,Sunday 09/21/03,@ Cincinnati,17-10,Week 3,-4.5,1,7,1,2.5,Cincinnati,Pittsburgh,-1,1,200309210cin,64596.0
1015,Cincinnati_Sunday 09/21/14,Cincinnati,2014,Sunday 09/21/14,Tennessee,33-7,Week 3,-6.5,1,26,1,19.5,Cincinnati,Tennessee,-2,2,201409210cin,56743.0
1016,Cincinnati_Sunday 09/22/13,Green Bay,2013,Sunday 09/22/13,@ Cincinnati,30-34,Week 3,-3.0,0,-4,0,-7.0,Cincinnati,Green Bay,1,1,201309220cin,64633.0
1017,Cincinnati_Sunday 09/23/01,Baltimore,2001,Sunday 09/23/01,@ Cincinnati,10-21,Week 2,-7.0,0,-11,0,-18.0,Cincinnati,Baltimore,5,2,200109230cin,
1018,Cincinnati_Sunday 09/25/11,Cincinnati,2011,Sunday 09/25/11,San Francisco,8-13,Week 3,-1.5,0,-5,0,-6.5,Cincinnati,San Francisco,2,-2,201109250cin,43363.0
1019,Cincinnati_Sunday 09/26/04,Baltimore,2004,Sunday 09/26/04,@ Cincinnati,23-9,Week 3,-2.5,1,14,1,11.5,Cincinnati,Baltimore,4,-1,200409260cin,
1020,Cincinnati_Sunday 09/27/09,Pittsburgh,2009,Sunday 09/27/09,@ Cincinnati,20-23,Week 3,-3.5,0,-3,0,-6.5,Cincinnati,Pittsburgh,-1,-1,200909270cin,64538.0
1021,Cincinnati_Sunday 09/28/08,Cincinnati,2008,Sunday 09/28/08,Cleveland,12-20,Week 4,-1.0,0,-8,0,-9.0,Cincinnati,Cleveland,2,-5,200809280cin,65541.0
1022,Cincinnati_Sunday 09/29/02,Tampa Bay,2002,Sunday 09/29/02,@ Cincinnati,35-7,Week 4,-7.0,1,28,1,21.0,Cincinnati,Tampa Bay,2,-1,200209290cin,
1023,Cincinnati_Sunday 10/01/00,Miami,2000,Sunday 10/01/00,@ Cincinnati,31-16,Week 5,-7.0,1,15,1,8.0,Cincinnati,Miami,-6,1,200010010cin,61535.0
1024,Cincinnati_Sunday 10/01/06,Cincinnati,2006,Sunday 10/01/06,New England,13-38,Week 4,-5.5,0,-25,0,-30.5,Cincinnati,New England,-1,3,200610010cin,
1025,Cincinnati_Sunday 10/02/05,Cincinnati,2005,Sunday 10/02/05,Houston,16-10,Week 4,-10.0,0,6,1,-4.0,Cincinnati,Houston,-2,2,200510020cin,
1026,Cincinnati_Sunday 10/02/11,Buffalo,2011,Sunday 10/02/11,@ Cincinnati,20-23,Week 4,-3.0,0,-3,0,-6.0,Cincinnati,Buffalo,-1,1,201110020cin,41142.0
1027,Cincinnati_Sunday 10/03/99,St. Louis,1999,Sunday 10/03/99,@ Cincinnati,38-10,Week 4,-4.0,1,28,1,24.0,Cincinnati,St. Louis,1,-2,199910030cin,45481.0
1028,Cincinnati_Sunday 10/06/13,New England,2013,Sunday 10/06/13,@ Cincinnati,6-13,Week 5,-2.0,0,-7,0,-9.0,Cincinnati,New England,-1,-3,201310060cin,64259.0
1029,Cincinnati_Sunday 10/07/12,Cincinnati,2012,Sunday 10/07/12,Miami,13-17,Week 5,-3.0,0,-4,0,-7.0,Cincinnati,Miami,-1,-1,201210070cin,61162.0
1030,Cincinnati_Sunday 10/08/00,Tennessee,2000,Sunday 10/08/00,@ Cincinnati,23-14,Week 6,-9.5,0,9,1,-0.5,Cincinnati,Tennessee,-1,-2,200010080cin,63406.0
1031,Cincinnati_Sunday 10/10/10,Cincinnati,2010,Sunday 10/10/10,Tampa Bay,21-24,Week 5,-6.5,0,-3,0,-9.5,Cincinnati,Tampa Bay,1,1,201010100cin,63888.0
1032,Cincinnati_Sunday 10/12/14,Cincinnati,2014,Sunday 10/12/14,Carolina,37-37,Week 6,-7.0,0,0,0,-7.0,Cincinnati,Carolina,-1,-1,201410120cin,57053.0
1033,Cincinnati_Sunday 10/13/02,Pittsburgh,2002,Sunday 10/13/02,@ Cincinnati,34-7,Week 6,-6.0,1,27,1,21.0,Cincinnati,Pittsburgh,-2,-2,200210130cin,
1034,Cincinnati_Sunday 10/14/01,Cincinnati,2001,Sunday 10/14/01,Cleveland,24-14,Week 5,-2.0,1,10,1,8.0,Cincinnati,Cleveland,1,-2,200110140cin,
1035,Cincinnati_Sunday 10/16/11,Cincinnati,2011,Sunday 10/16/11,Indianapolis,27-17,Week 6,-5.0,1,10,1,5.0,Cincinnati,Indianapolis,1,1,201110160cin,52068.0
1036,Cincinnati_Sunday 10/17/99,Pittsburgh,1999,Sunday 10/17/99,@ Cincinnati,17-3,Week 6,-5.5,1,14,1,8.5,Cincinnati,Pittsburgh,3,-1,199910170cin,59669.0
1037,Cincinnati_Sunday 10/18/09,Cincinnati,2009,Sunday 10/18/09,Houston,17-28,Week 6,-4.0,0,-11,0,-15.0,Cincinnati,Houston,-2,2,200910180cin,64019.0
1038,Cincinnati_Sunday 10/19/03,Baltimore,2003,Sunday 10/19/03,@ Cincinnati,26-34,Week 7,-1.5,0,-8,0,-9.5,Cincinnati,Baltimore,-2,-3,200310190cin,53553.0
1039,Cincinnati_Sunday 10/19/08,Pittsburgh,2008,Sunday 10/19/08,@ Cincinnati,38-10,Week 7,-9.0,1,28,1,19.0,Cincinnati,Pittsburgh,5,1,200810190cin,65860.0
1040,Cincinnati_Sunday 10/21/01,Cincinnati,2001,Sunday 10/21/01,Chicago,0-24,Week 6,-1.5,0,-24,0,-25.5,Cincinnati,Chicago,1,-3,200110210cin,
1041,Cincinnati_Sunday 10/21/07,Cincinnati,2007,Sunday 10/21/07,N.Y. Jets,38-31,Week 7,-6.0,1,7,1,1.0,Cincinnati,N.Y. Jets,-1,-1,200710210cin,
1042,Cincinnati_Sunday 10/22/00,Denver,2000,Sunday 10/22/00,@ Cincinnati,21-31,Week 8,-10.5,0,-10,0,-20.5,Cincinnati,Denver,-1,1,200010220cin,61603.0
1043,Cincinnati_Sunday 10/22/06,Cincinnati,2006,Sunday 10/22/06,Carolina,17-14,Week 7,-3.0,0,3,1,0.0,Cincinnati,Carolina,2,1,200610220cin,
1044,Cincinnati_Sunday 10/23/05,Cincinnati,2005,Sunday 10/23/05,Pittsburgh,13-27,Week 7,-1.5,0,-14,0,-15.5,Cincinnati,Pittsburgh,3,-1,200510230cin,
1045,Cincinnati_Sunday 10/25/09,Chicago,2009,Sunday 10/25/09,@ Cincinnati,10-45,Week 7,-1.0,0,-35,0,-36.0,Cincinnati,Chicago,-3,-3,200910250cin,64900.0
1046,Cincinnati_Sunday 10/26/03,Seattle,2003,Sunday 10/26/03,@ Cincinnati,24-27,Week 8,-3.0,0,-3,0,-6.0,Cincinnati,Seattle,2,1,200310260cin,52131.0
1047,Cincinnati_Sunday 10/26/14,Baltimore,2014,Sunday 10/26/14,@ Cincinnati,24-27,Week 8,-2.5,0,-3,0,-5.5,Cincinnati,Baltimore,4,-1,201410260cin,55711.0
1048,Cincinnati_Sunday 10/27/02,Tennessee,2002,Sunday 10/27/02,@ Cincinnati,30-24,Week 8,-5.0,1,6,1,1.0,Cincinnati,Tennessee,-1,1,200210270cin,
1049,Cincinnati_Sunday 10/27/13,Cincinnati,2013,Sunday 10/27/13,N.Y. Jets,49-9,Week 8,-6.0,1,40,1,34.0,Cincinnati,N.Y. Jets,-1,-2,201310270cin,62576.0
1050,Cincinnati_Sunday 10/28/07,Pittsburgh,2007,Sunday 10/28/07,@ Cincinnati,24-13,Week 8,-4.0,1,11,1,7.0,Cincinnati,Pittsburgh,-1,2,200710280cin,
1051,Cincinnati_Sunday 10/29/06,Cincinnati,2006,Sunday 10/29/06,Atlanta,27-29,Week 8,-3.5,0,-2,0,-5.5,Cincinnati,Atlanta,1,2,200610290cin,
1052,Cincinnati_Sunday 10/30/05,Cincinnati,2005,Sunday 10/30/05,Green Bay,21-14,Week 8,-9.5,0,7,1,-2.5,Cincinnati,Green Bay,-1,1,200510300cin,
1053,Cincinnati_Sunday 10/31/10,Miami,2010,Sunday 10/31/10,@ Cincinnati,22-14,Week 8,-1.0,1,8,1,7.0,Cincinnati,Miami,-1,-1,201010310cin,63179.0
1054,Cincinnati_Sunday 10/31/99,Jacksonville,1999,Sunday 10/31/99,@ Cincinnati,41-10,Week 8,-11.5,1,31,1,19.5,Cincinnati,Jacksonville,1,-2,199910310cin,49138.0
1055,Cincinnati_Sunday 11/02/08,Jacksonville,2008,Sunday 11/02/08,@ Cincinnati,19-21,Week 9,-9.0,0,-2,0,-11.0,Cincinnati,Jacksonville,-2,-4,200811020cin,64238.0
1056,Cincinnati_Sunday 11/02/14,Cincinnati,2014,Sunday 11/02/14,Jacksonville,33-23,Week 9,-10.0,0,10,1,0.0,Cincinnati,Jacksonville,1,-3,201411020cin,60057.0
1057,Cincinnati_Sunday 11/04/12,Denver,2012,Sunday 11/04/12,@ Cincinnati,31-23,Week 9,-5.0,1,8,1,3.0,Cincinnati,Denver,-8,-1,201211040cin,63623.0
1058,Cincinnati_Sunday 11/05/00,Baltimore,2000,Sunday 11/05/00,@ Cincinnati,27-7,Week 10,-6.5,1,20,1,13.5,Cincinnati,Baltimore,2,-2,200011050cin,54759.0
1059,Cincinnati_Sunday 11/07/04,Dallas,2004,Sunday 11/07/04,@ Cincinnati,3-26,Week 9,0.0,0,-23,0,-23.0,Cincinnati,Dallas,1,2,200411070cin,
1060,Cincinnati_Sunday 11/08/09,Baltimore,2009,Sunday 11/08/09,@ Cincinnati,7-17,Week 9,-3.0,0,-10,0,-13.0,Cincinnati,Baltimore,2,-1,200911080cin,64313.0
1061,Cincinnati_Sunday 11/09/03,Cincinnati,2003,Sunday 11/09/03,Houston,34-27,Week 10,-4.5,1,7,1,2.5,Cincinnati,Houston,1,-3,200311090cin,50437.0
1062,Cincinnati_Sunday 11/11/12,N.Y. Giants,2012,Sunday 11/11/12,@ Cincinnati,13-31,Week 10,-3.5,0,-18,0,-21.5,Cincinnati,N.Y. Giants,-1,1,201211110cin,56614.0
1063,Cincinnati_Sunday 11/12/06,Cincinnati,2006,Sunday 11/12/06,San Diego,41-49,Week 10,-1.0,0,-8,0,-9.0,Cincinnati,San Diego,-1,-2,200611120cin,
