,Index,Team,Season,Date,Against,Score,Type,PS,WPS,Diff,W,Bias,Home,Away,FWStreak,UWStreak,permalink,attendance,weekBySeason,ranking
1261,Cleveland_Sunday 12/15/13,Cleveland,2013,Sunday 12/15/13,Chicago,31-38,Week 15,-1.0,0,-7,0,-8.0,Cleveland,Chicago,-7,2,201312150cle,71513.0,15.0,27.0
1264,Cleveland_Sunday 12/16/12,Cleveland,2012,Sunday 12/16/12,Washington,21-38,Week 15,-4.0,0,-17,0,-21.0,Cleveland,Washington,1,-5,201212160cle,65083.0,15.0,24.0
1265,Cleveland_Sunday 12/17/00,Tennessee,2000,Sunday 12/17/00,@ Cleveland,24-0,Week 16,-16.0,1,24,1,8.0,Cleveland,Tennessee,2,-1,200012170cle,72318.0,16.0,
1267,Cleveland_Sunday 12/19/99,Jacksonville,1999,Sunday 12/19/99,@ Cleveland,24-14,Week 15,-14.0,0,10,1,-4.0,Cleveland,Jacksonville,-1,-3,199912190cle,72038.0,15.0,
1268,Cleveland_Sunday 12/21/03,Baltimore,2003,Sunday 12/21/03,@ Cleveland,35-0,Week 16,-3.0,1,35,1,32.0,Cleveland,Baltimore,3,1,200312210cle,72548.0,16.0,7.0
1269,Cleveland_Sunday 12/21/08,Cleveland,2008,Sunday 12/21/08,Cincinnati,0-14,Week 16,-3.0,0,-14,0,-17.0,Cleveland,Cincinnati,-1,-2,200812210cle,72361.0,16.0,26.0
1271,Cleveland_Sunday 12/26/10,Baltimore,2010,Sunday 12/26/10,@ Cleveland,20-10,Week 16,-3.5,1,10,1,6.5,Cleveland,Baltimore,-1,-5,201012260cle,65028.0,16.0,5.0
1272,Cleveland_Sunday 12/26/99,Indianapolis,1999,Sunday 12/26/99,@ Cleveland,29-28,Week 16,-13.5,0,1,1,-12.5,Cleveland,Indianapolis,2,-6,199912260cle,72618.0,16.0,
1273,Cleveland_Sunday 12/27/09,Cleveland,2009,Sunday 12/27/09,Oakland,23-9,Week 16,-3.0,1,14,1,11.0,Cleveland,Oakland,-7,-2,200912270cle,67964.0,16.0,29.0
1274,Cleveland_Sunday 12/29/02,Atlanta,2002,Sunday 12/29/02,@ Cleveland,16-24,Week 17,-2.5,0,-8,0,-10.5,Cleveland,Atlanta,4,-1,200212290cle,73528.0,17.0,11.0
1276,Cleveland_Sunday Night 09/12/99,Pittsburgh,1999,Sunday Night 09/12/99,@ Cleveland,43-0,Week 1,-6.5,1,43,1,36.5,Cleveland,Pittsburgh,-2,-2,199909120cle,73138.0,1.0,
1277,Cleveland_Sunday Night 09/14/08,Pittsburgh,2008,Sunday Night 09/14/08,@ Cleveland,10-6,Week 2,-6.0,0,4,1,-2.0,Cleveland,Pittsburgh,1,-3,200809140cle,73048.0,2.0,6.0
1288,Cleveland_Thursday 10/03/13,Cleveland,2013,Thursday 10/03/13,Buffalo,37-24,Week 5,-3.5,1,13,1,9.5,Cleveland,Buffalo,-3,-4,201310030cle,71239.0,5.0,25.0
1289,Cleveland_Thursday 11/06/08,Cleveland,2008,Thursday 11/06/08,Denver,30-34,Week 10,-3.0,0,-4,0,-7.0,Cleveland,Denver,1,3,200811060cle,73141.0,10.0,22.0
1290,Cleveland_Thursday 12/10/09,Pittsburgh,2009,Thursday 12/10/09,@ Cleveland,6-13,Week 14,-9.5,0,-7,0,-16.5,Cleveland,Pittsburgh,2,-2,200912100cle,69009.0,14.0,12.0
1296,Dallas_Monday 09/15/08,Dallas,2008,Monday 09/15/08,Philadelphia,41-37,Week 2,-6.5,0,4,1,-2.5,Dallas,Philadelphia,6,-1,200809150dal,63472.0,2.0,3.0
1298,Dallas_Monday 09/20/99,Dallas,1999,Monday 09/20/99,Atlanta,24-7,Week 2,-6.5,1,17,1,10.5,Dallas,Atlanta,-1,5,199909200dal,63663.0,2.0,
1299,Dallas_Monday 09/26/11,Dallas,2011,Monday 09/26/11,Washington,18-16,Week 3,-3.5,0,2,1,-1.5,Dallas,Washington,1,-1,201109260dal,91017.0,3.0,13.0
1300,Dallas_Monday 09/28/09,Dallas,2009,Monday 09/28/09,Carolina,21-7,Week 3,-9.0,1,14,1,5.0,Dallas,Carolina,3,-2,200909280dal,90588.0,3.0,13.0
1301,Dallas_Monday 10/01/12,Dallas,2012,Monday 10/01/12,Chicago,18-34,Week 4,-3.0,0,-16,0,-19.0,Dallas,Chicago,4,-1,201210010dal,90080.0,4.0,15.0
1304,Dallas_Monday 10/25/10,Dallas,2010,Monday 10/25/10,N.Y. Giants,35-41,Week 7,-3.5,0,-6,0,-9.5,Dallas,N.Y. Giants,-2,1,201010250dal,91375.0,7.0,19.0
1305,Dallas_Monday 10/27/14,Dallas,2014,Monday 10/27/14,Washington,17-20,Week 8,-9.0,0,-3,0,-12.0,Dallas,Washington,-3,-6,201410270dal,87055.0,8.0,3.0
1319,Dallas_Saturday 12/20/08,Dallas,2008,Saturday 12/20/08,Baltimore,24-33,Week 16,-5.0,0,-9,0,-14.0,Dallas,Baltimore,3,4,200812200dal,63800.0,16.0,8.0
1321,Dallas_Saturday 12/24/11,Dallas,2011,Saturday 12/24/11,Philadelphia,7-20,Week 16,-1.0,0,-13,0,-14.0,Dallas,Philadelphia,2,-2,201112240dal,84834.0,16.0,14.0
1322,Dallas_Sunday 01/02/00,Dallas,1999,Sunday 01/02/00,N.Y. Giants,26-18,Week 17,-7.0,1,8,1,1.0,Dallas,N.Y. Giants,-2,2,200001020dal,63767.0,17.0,
1323,Dallas_Sunday 01/03/10,Dallas,2009,Sunday 01/03/10,Philadelphia,24-0,Week 17,-3.0,1,24,1,21.0,Dallas,Philadelphia,2,-2,201001030dal,100621.0,17.0,10.0
1328,Dallas_Sunday 09/03/00,Dallas,2000,Sunday 09/03/00,Philadelphia,14-41,Week 1,-6.0,0,-27,0,-33.0,Dallas,Philadelphia,1,-2,200009030dal,62872.0,1.0,
1329,Dallas_Sunday 09/07/03,Dallas,2003,Sunday 09/07/03,Atlanta,13-27,Week 1,-2.0,0,-14,0,-16.0,Dallas,Atlanta,-1,1,200309070dal,64104.0,1.0,
1330,Dallas_Sunday 09/07/14,San Francisco,2014,Sunday 09/07/14,@ Dallas,28-17,Week 1,-3.5,1,11,1,7.5,Dallas,San Francisco,-1,1,201409070dal,91174.0,1.0,
1334,Dallas_Sunday 09/19/10,Dallas,2010,Sunday 09/19/10,Chicago,20-27,Week 2,-7.0,0,-7,0,-14.0,Dallas,Chicago,2,1,201009190dal,85168.0,2.0,4.0
1335,Dallas_Sunday 09/22/13,Dallas,2013,Sunday 09/22/13,St. Louis,31-7,Week 3,-3.5,1,24,1,20.5,Dallas,St. Louis,-1,-6,201309220dal,80848.0,3.0,13.0
1337,Dallas_Sunday 09/23/12,Dallas,2012,Sunday 09/23/12,Tampa Bay,16-10,Week 3,-9.0,0,6,1,-3.0,Dallas,Tampa Bay,-1,1,201209230dal,81984.0,3.0,10.0
1338,Dallas_Sunday 09/24/00,Dallas,2000,Sunday 09/24/00,San Francisco,24-41,Week 4,-6.5,0,-17,0,-23.5,Dallas,San Francisco,1,-4,200009240dal,64127.0,4.0,
1339,Dallas_Sunday 09/28/08,Dallas,2008,Sunday 09/28/08,Washington,24-26,Week 4,-10.5,0,-2,0,-12.5,Dallas,Washington,3,1,200809280dal,63462.0,4.0,1.0
1341,Dallas_Sunday 10/02/11,Dallas,2011,Sunday 10/02/11,Detroit,30-34,Week 4,-2.5,0,-4,0,-6.5,Dallas,Detroit,-1,-4,201110020dal,78122.0,4.0,13.0
1342,Dallas_Sunday 10/03/99,Dallas,1999,Sunday 10/03/99,Arizona,35-7,Week 4,-7.5,1,28,1,20.5,Dallas,Arizona,-2,-1,199910030dal,64169.0,4.0,
1343,Dallas_Sunday 10/05/03,Dallas,2003,Sunday 10/05/03,Arizona,24-7,Week 5,-7.0,1,17,1,10.0,Dallas,Arizona,-1,-2,200310050dal,63601.0,5.0,24.0
1344,Dallas_Sunday 10/05/08,Dallas,2008,Sunday 10/05/08,Cincinnati,31-22,Week 5,-16.0,0,9,1,-7.0,Dallas,Cincinnati,1,-1,200810050dal,62655.0,5.0,1.0
1345,Dallas_Sunday 10/05/14,Dallas,2014,Sunday 10/05/14,Houston,20-17,Week 5,-5.0,0,3,1,-2.0,Dallas,Houston,2,-1,201410050dal,91159.0,5.0,18.0
1347,Dallas_Sunday 10/06/13,Denver,2013,Sunday 10/06/13,@ Dallas,51-48,Week 5,-7.5,0,3,1,-4.5,Dallas,Denver,3,-1,201310060dal,92758.0,5.0,2.0
1350,Dallas_Sunday 10/10/10,Dallas,2010,Sunday 10/10/10,Tennessee,27-34,Week 5,-6.5,0,-7,0,-13.5,Dallas,Tennessee,-1,-1,201010100dal,90616.0,5.0,16.0
1351,Dallas_Sunday 10/12/03,Dallas,2003,Sunday 10/12/03,Philadelphia,23-21,Week 6,-1.5,1,2,1,0.5,Dallas,Philadelphia,1,3,200310120dal,63648.0,6.0,20.0
1357,Dallas_Sunday 10/19/14,Dallas,2014,Sunday 10/19/14,N.Y. Giants,31-21,Week 7,-4.5,1,10,1,5.5,Dallas,N.Y. Giants,-1,1,201410190dal,91028.0,7.0,6.0
1359,Dallas_Sunday 10/22/00,Dallas,2000,Sunday 10/22/00,Arizona,48-7,Week 8,-6.5,1,41,1,34.5,Dallas,Arizona,3,-2,200010220dal,62981.0,8.0,
1360,Dallas_Sunday 10/23/11,Dallas,2011,Sunday 10/23/11,St. Louis,34-7,Week 7,-14.0,1,27,1,13.0,Dallas,St. Louis,-1,1,201110230dal,80086.0,7.0,15.0
1361,Dallas_Sunday 10/24/99,Washington,1999,Sunday 10/24/99,@ Dallas,20-38,Week 7,0.0,0,-18,0,-18.0,Dallas,Washington,1,-1,199910240dal,64377.0,7.0,
1362,Dallas_Sunday 10/25/09,Dallas,2009,Sunday 10/25/09,Atlanta,37-21,Week 7,-5.5,1,16,1,10.5,Dallas,Atlanta,1,1,200910250dal,81521.0,7.0,17.0
1363,Dallas_Sunday 10/26/08,Dallas,2008,Sunday 10/26/08,Tampa Bay,13-9,Week 8,-1.0,1,4,1,3.0,Dallas,Tampa Bay,-1,1,200810260dal,63254.0,8.0,6.0
1366,Dallas_Sunday 10/28/12,N.Y. Giants,2012,Sunday 10/28/12,@ Dallas,29-24,Week 8,-1.5,1,5,1,3.5,Dallas,N.Y. Giants,1,1,201210280dal,94067.0,8.0,7.0
1367,Dallas_Sunday 10/29/00,Dallas,2000,Sunday 10/29/00,Jacksonville,17-23,Week 9,-3.5,0,-6,0,-9.5,Dallas,Jacksonville,-1,-1,200010290dal,63554.0,9.0,
1370,Dallas_Sunday 10/31/10,Dallas,2010,Sunday 10/31/10,Jacksonville,17-35,Week 8,-6.5,0,-18,0,-24.5,Dallas,Jacksonville,2,-3,201010310dal,81395.0,8.0,26.0
1371,Dallas_Sunday 11/01/09,Dallas,2009,Sunday 11/01/09,Seattle,38-17,Week 8,-10.0,1,21,1,11.0,Dallas,Seattle,-2,-1,200911010dal,80886.0,8.0,19.0
1372,Dallas_Sunday 11/02/03,Dallas,2003,Sunday 11/02/03,Washington,21-14,Week 9,-6.0,1,7,1,1.0,Dallas,Washington,1,1,200311020dal,64002.0,9.0,7.0
1373,Dallas_Sunday 11/02/14,Dallas,2014,Sunday 11/02/14,Arizona,17-28,Week 9,-1.5,0,-11,0,-12.5,Dallas,Arizona,-1,2,201411020dal,85688.0,9.0,2.0
1374,Dallas_Sunday 11/03/13,Dallas,2013,Sunday 11/03/13,Minnesota,27-23,Week 9,-10.0,0,4,1,-6.0,Dallas,Minnesota,-3,-1,201311030dal,85360.0,9.0,10.0
1375,Dallas_Sunday 11/06/11,Dallas,2011,Sunday 11/06/11,Seattle,23-13,Week 9,-11.0,0,10,1,-1.0,Dallas,Seattle,-3,3,201111060dal,81510.0,9.0,18.0
1376,Dallas_Sunday 11/09/03,Dallas,2003,Sunday 11/09/03,Buffalo,10-6,Week 10,-4.0,0,4,1,0.0,Dallas,Buffalo,-1,1,200311090dal,63770.0,10.0,10.0
1377,Dallas_Sunday 11/12/00,Dallas,2000,Sunday 11/12/00,Cincinnati,23-6,Week 11,-7.0,1,17,1,10.0,Dallas,Cincinnati,2,2,200011120dal,62170.0,11.0,
1378,Dallas_Sunday 11/13/11,Dallas,2011,Sunday 11/13/11,Buffalo,44-7,Week 10,-4.5,1,37,1,32.5,Dallas,Buffalo,4,1,201111130dal,85157.0,10.0,21.0
1379,Dallas_Sunday 11/14/99,Green Bay,1999,Sunday 11/14/99,@ Dallas,13-27,Week 10,-4.0,0,-14,0,-18.0,Dallas,Green Bay,3,6,199911140dal,64634.0,10.0,
1382,Dallas_Sunday 11/18/12,Dallas,2012,Sunday 11/18/12,Cleveland,23-20,Week 11,-7.0,0,3,1,-4.0,Dallas,Cleveland,1,2,201211180dal,81936.0,11.0,18.0
1385,Dallas_Sunday 11/21/10,Dallas,2010,Sunday 11/21/10,Detroit,35-19,Week 11,-5.0,1,16,1,11.0,Dallas,Detroit,-1,-1,201011210dal,81261.0,11.0,30.0
1386,Dallas_Sunday 11/22/09,Dallas,2009,Sunday 11/22/09,Washington,7-6,Week 11,-11.0,0,1,1,-10.0,Dallas,Washington,-1,2,200911220dal,85277.0,11.0,8.0
1387,Dallas_Sunday 11/23/03,Dallas,2003,Sunday 11/23/03,Carolina,24-20,Week 12,-3.0,1,4,1,1.0,Dallas,Carolina,1,1,200311230dal,63871.0,12.0,7.0
1388,Dallas_Sunday 11/23/08,Dallas,2008,Sunday 11/23/08,San Francisco,35-22,Week 12,-9.5,1,13,1,3.5,Dallas,San Francisco,2,-5,200811230dal,63272.0,12.0,16.0
1392,Dallas_Sunday 12/10/00,Washington,2000,Sunday 12/10/00,@ Dallas,13-32,Week 15,-6.5,0,-19,0,-25.5,Dallas,Washington,2,3,200012100dal,63467.0,15.0,
1395,Dallas_Sunday 12/12/99,Dallas,1999,Sunday 12/12/99,Philadelphia,20-10,Week 14,-8.5,1,10,1,1.5,Dallas,Philadelphia,-1,1,199912120dal,64086.0,14.0,
1396,Dallas_Sunday 12/13/09,Dallas,2009,Sunday 12/13/09,San Diego,17-20,Week 14,-3.5,0,-3,0,-6.5,Dallas,San Diego,1,4,200912130dal,90552.0,14.0,7.0
1397,Dallas_Sunday 12/15/13,Dallas,2013,Sunday 12/15/13,Green Bay,36-37,Week 15,-4.0,0,-1,0,-5.0,Dallas,Green Bay,-1,1,201312150dal,91054.0,15.0,11.0
1399,Dallas_Sunday 12/16/12,Dallas,2012,Sunday 12/16/12,Pittsburgh,27-24,Week 15,-1.0,1,3,1,2.0,Dallas,Pittsburgh,-4,-1,201212160dal,95595.0,15.0,16.0
1400,Dallas_Sunday 12/19/10,Dallas,2010,Sunday 12/19/10,Washington,33-30,Week 15,-9.5,0,3,1,-6.5,Dallas,Washington,-2,4,201012190dal,86904.0,15.0,24.0
1401,Dallas_Sunday 12/19/99,Dallas,1999,Sunday 12/19/99,N.Y. Jets,21-22,Week 15,-5.5,0,-1,0,-6.5,Dallas,N.Y. Jets,1,2,199912190dal,64271.0,15.0,
1402,Dallas_Sunday 12/21/03,Dallas,2003,Sunday 12/21/03,N.Y. Giants,19-3,Week 16,-11.5,1,16,1,4.5,Dallas,N.Y. Giants,-1,-6,200312210dal,64118.0,16.0,15.0
1403,Dallas_Sunday 12/23/12,Dallas,2012,Sunday 12/23/12,New Orleans,31-34,Week 16,-1.0,0,-3,0,-4.0,Dallas,New Orleans,-1,-4,201212230dal,92570.0,16.0,13.0
1411,Dallas_Sunday Night 09/08/13,Dallas,2013,Sunday Night 09/08/13,N.Y. Giants,36-31,Week 1,-3.5,1,5,1,1.5,Dallas,N.Y. Giants,-2,1,201309080dal,85348.0,1.0,
1414,Dallas_Sunday Night 09/20/09,Dallas,2009,Sunday Night 09/20/09,N.Y. Giants,31-33,Week 2,-3.0,0,-2,0,-5.0,Dallas,N.Y. Giants,1,-4,200909200dal,105121.0,2.0,17.0
1415,Dallas_Sunday Night 09/28/14,New Orleans,2014,Sunday Night 09/28/14,@ Dallas,17-38,Week 4,-3.0,0,-21,0,-24.0,Dallas,New Orleans,-1,2,201409280dal,91176.0,4.0,21.0
1416,Dallas_Sunday Night 10/13/13,Dallas,2013,Sunday Night 10/13/13,Washington,31-16,Week 6,-5.5,1,15,1,9.5,Dallas,Washington,-1,-1,201310130dal,90239.0,6.0,18.0
1417,Dallas_Sunday Night 12/02/12,Dallas,2012,Sunday Night 12/02/12,Philadelphia,38-33,Week 13,-11.0,0,5,1,-6.0,Dallas,Philadelphia,2,-2,201212020dal,81851.0,13.0,16.0
1418,Dallas_Sunday Night 12/10/06,Dallas,2006,Sunday Night 12/10/06,New Orleans,17-42,Week 14,-7.5,0,-25,0,-32.5,Dallas,New Orleans,-1,4,200612100dal,63722.0,14.0,6.0
1419,Dallas_Sunday Night 12/11/11,Dallas,2011,Sunday Night 12/11/11,N.Y. Giants,34-37,Week 14,-4.5,0,-3,0,-7.5,Dallas,N.Y. Giants,-2,3,201112110dal,95952.0,14.0,8.0
1420,Dallas_Sunday Night 12/12/10,Philadelphia,2010,Sunday Night 12/12/10,@ Dallas,30-27,Week 14,-3.5,0,3,1,-0.5,Dallas,Philadelphia,1,-3,201012120dal,85673.0,14.0,9.0
1421,Dallas_Sunday Night 12/14/08,Dallas,2008,Sunday Night 12/14/08,N.Y. Giants,20-8,Week 15,-3.0,1,12,1,9.0,Dallas,N.Y. Giants,-4,-2,200812140dal,63776.0,15.0,8.0
1422,Dallas_Sunday Night 12/17/00,N.Y. Giants,2000,Sunday Night 12/17/00,@ Dallas,17-13,Week 16,-7.0,0,4,1,-3.0,Dallas,N.Y. Giants,-4,1,200012170dal,61311.0,16.0,
1423,Dallas_Sunday Night 12/29/13,Philadelphia,2013,Sunday Night 12/29/13,@ Dallas,24-22,Week 17,-7.5,0,2,1,-5.5,Dallas,Philadelphia,4,1,201312290dal,91166.0,17.0,11.0
1440,Dallas_Thursday 11/22/12,Dallas,2012,Thursday 11/22/12,Washington,31-38,Week 12,-3.5,0,-7,0,-10.5,Dallas,Washington,1,-3,201211220dal,90166.0,12.0,15.0
1441,Dallas_Thursday 11/23/00,Minnesota,2000,Thursday 11/23/00,@ Dallas,27-15,Week 13,-7.5,1,12,1,4.5,Dallas,Minnesota,1,-1,200011230dal,63878.0,13.0,
1443,Dallas_Thursday 11/24/05,Denver,2005,Thursday 11/24/05,@ Dallas,24-21,Week 12,-2.0,1,3,1,1.0,Dallas,Denver,-1,1,200511240dal,63273.0,12.0,2.0
1444,Dallas_Thursday 11/24/11,Dallas,2011,Thursday 11/24/11,Miami,20-19,Week 12,-7.0,0,1,1,-6.0,Dallas,Miami,-1,2,201111240dal,87418.0,12.0,12.0
1446,Dallas_Thursday 11/25/10,New Orleans,2010,Thursday 11/25/10,@ Dallas,30-27,Week 12,-4.5,0,3,1,-1.5,Dallas,New Orleans,3,2,201011250dal,93985.0,12.0,3.0
1447,Dallas_Thursday 11/25/99,Dallas,1999,Thursday 11/25/99,Miami,20-0,Week 12,-1.0,1,20,1,19.0,Dallas,Miami,-1,-1,199911250dal,64328.0,12.0,
1448,Dallas_Thursday 11/26/09,Dallas,2009,Thursday 11/26/09,Oakland,24-7,Week 12,-13.5,1,17,1,3.5,Dallas,Oakland,1,2,200911260dal,83489.0,12.0,10.0
1449,Dallas_Thursday 11/27/03,Dallas,2003,Thursday 11/27/03,Miami,21-40,Week 13,-3.0,0,-19,0,-22.0,Dallas,Miami,2,-2,200311270dal,64110.0,13.0,8.0
1450,Dallas_Thursday 11/27/08,Dallas,2008,Thursday 11/27/08,Seattle,34-9,Week 13,-11.5,1,25,1,13.5,Dallas,Seattle,-1,-1,200811270dal,63253.0,13.0,11.0
1451,Dallas_Thursday 11/27/14,Dallas,2014,Thursday 11/27/14,Philadelphia,10-33,Week 13,-3.0,0,-23,0,-26.0,Dallas,Philadelphia,1,1,201411270dal,91379.0,13.0,6.0
1452,Dallas_Thursday 11/28/02,Washington,2002,Thursday 11/28/02,@ Dallas,20-27,Week 13,-1.0,0,-7,0,-8.0,Dallas,Washington,1,-1,200211280dal,63606.0,13.0,23.0
1453,Dallas_Thursday 11/28/13,Dallas,2013,Thursday 11/28/13,Oakland,31-24,Week 13,-10.0,0,7,1,-3.0,Dallas,Oakland,1,-1,201311280dal,87572.0,13.0,14.0
1465,Denver_Monday 09/12/11,Denver,2011,Monday 09/12/11,Oakland,20-23,Week 1,-3.0,0,-3,0,-6.0,Denver,Oakland,2,-5,201109120den,75671.0,1.0,
1466,Denver_Monday 09/13/99,Denver,1999,Monday 09/13/99,Miami,21-38,Week 1,-5.5,0,-17,0,-22.5,Denver,Miami,-1,-1,199909130den,75623.0,1.0,
1467,Denver_Monday 09/22/03,Denver,2003,Monday 09/22/03,Oakland,31-10,Week 3,-4.5,1,21,1,16.5,Denver,Oakland,-3,-1,200309220den,76753.0,3.0,12.0
1468,Denver_Monday 09/23/13,Denver,2013,Monday 09/23/13,Oakland,37-21,Week 3,-16.0,0,16,1,0.0,Denver,Oakland,1,-2,201309230den,76978.0,3.0,3.0
1472,Denver_Monday 11/03/03,Denver,2003,Monday 11/03/03,New England,26-30,Week 9,-3.0,0,-4,0,-7.0,Denver,New England,-3,4,200311030den,76203.0,9.0,11.0
1473,Denver_Monday 11/09/09,Pittsburgh,2009,Monday 11/09/09,@ Denver,28-10,Week 9,-3.0,1,18,1,15.0,Denver,Pittsburgh,10,-5,200911090den,76716.0,9.0,7.0
1475,Denver_Monday 11/13/00,Denver,2000,Monday 11/13/00,Oakland,27-24,Week 11,-3.5,0,3,1,-0.5,Denver,Oakland,-7,1,200011130den,75951.0,11.0,
1477,Denver_Monday 11/22/99,Denver,1999,Monday 11/22/99,Oakland,27-21,Week 11,-2.0,1,6,1,4.0,Denver,Oakland,-1,-1,199911220den,70012.0,11.0,
1494,Denver_Saturday 12/23/00,Denver,2000,Saturday 12/23/00,San Francisco,38-9,Week 17,-7.0,1,29,1,22.0,Denver,San Francisco,3,2,200012230den,76098.0,17.0,
1496,Denver_Sunday 01/01/12,Denver,2011,Sunday 01/01/12,Kansas City,3-7,Week 17,-1.0,0,-4,0,-5.0,Denver,Kansas City,3,1,201201010den,76005.0,17.0,11.0
1497,Denver_Sunday 01/02/00,Denver,1999,Sunday 01/02/00,San Diego,6-12,Week 17,-7.0,0,-6,0,-13.0,Denver,San Diego,-1,1,200001020den,69278.0,17.0,
1499,Denver_Sunday 01/02/11,San Diego,2010,Sunday 01/02/11,@ Denver,33-28,Week 17,-5.0,0,5,1,0.0,Denver,San Diego,3,1,201101020den,74155.0,17.0,10.0
1500,Denver_Sunday 01/03/10,Denver,2009,Sunday 01/03/10,Kansas City,24-44,Week 17,-9.5,0,-20,0,-29.5,Denver,Kansas City,-1,-3,201001030den,73725.0,17.0,13.0
1508,Denver_Sunday 09/10/00,Denver,2000,Sunday 09/10/00,Atlanta,42-14,Week 2,-4.0,1,28,1,24.0,Denver,Atlanta,3,1,200009100den,75466.0,2.0,
1509,Denver_Sunday 09/14/08,Denver,2008,Sunday 09/14/08,San Diego,39-38,Week 2,-1.0,0,1,1,0.0,Denver,San Diego,2,-1,200809140den,75915.0,2.0,22.0
1510,Denver_Sunday 09/14/14,Denver,2014,Sunday 09/14/14,Kansas City,24-17,Week 2,-13.0,0,7,1,-6.0,Denver,Kansas City,3,-1,201409140den,76900.0,2.0,2.0
1513,Denver_Sunday 09/18/05,Denver,2005,Sunday 09/18/05,San Diego,20-17,Week 2,-3.0,0,3,1,0.0,Denver,San Diego,9,1,200509180den,75310.0,2.0,11.0
1514,Denver_Sunday 09/18/11,Denver,2011,Sunday 09/18/11,Cincinnati,24-22,Week 2,-3.5,0,2,1,-1.5,Denver,Cincinnati,10,2,201109180den,73281.0,2.0,27.0
1515,Denver_Sunday 09/19/10,Denver,2010,Sunday 09/19/10,Seattle,31-14,Week 2,-3.5,1,17,1,13.5,Denver,Seattle,-1,1,201009190den,75130.0,2.0,22.0
1516,Denver_Sunday 09/20/09,Denver,2009,Sunday 09/20/09,Cleveland,27-6,Week 2,-3.0,1,21,1,18.0,Denver,Cleveland,-1,-3,200909200den,73931.0,2.0,27.0
1517,Denver_Sunday 09/21/08,Denver,2008,Sunday 09/21/08,New Orleans,34-32,Week 3,-5.0,0,2,1,-3.0,Denver,New Orleans,1,-1,200809210den,75713.0,3.0,19.0
1520,Denver_Sunday 09/23/12,Houston,2012,Sunday 09/23/12,@ Denver,31-25,Week 3,-1.0,1,6,1,5.0,Denver,Houston,-6,-1,201209230den,76566.0,3.0,4.0
1521,Denver_Sunday 09/24/00,Denver,2000,Sunday 09/24/00,Kansas City,22-23,Week 4,-6.0,0,-1,0,-7.0,Denver,Kansas City,-2,2,200009240den,74596.0,4.0,
1522,Denver_Sunday 09/26/04,Denver,2004,Sunday 09/26/04,San Diego,23-13,Week 3,-10.0,0,10,1,0.0,Denver,San Diego,-4,1,200409260den,74533.0,3.0,5.0
1523,Denver_Sunday 09/26/10,Indianapolis,2010,Sunday 09/26/10,@ Denver,27-13,Week 3,-5.5,1,14,1,8.5,Denver,Indianapolis,3,1,201009260den,76401.0,3.0,5.0
1524,Denver_Sunday 09/28/03,Denver,2003,Sunday 09/28/03,Detroit,20-16,Week 4,-11.0,0,4,1,-7.0,Denver,Detroit,1,1,200309280den,75719.0,4.0,5.0
1525,Denver_Sunday 09/29/13,Denver,2013,Sunday 09/29/13,Philadelphia,52-20,Week 4,-10.5,1,32,1,21.5,Denver,Philadelphia,-1,1,201309290den,77002.0,4.0,2.0
1527,Denver_Sunday 09/30/12,Denver,2012,Sunday 09/30/12,Oakland,37-6,Week 4,-6.5,1,31,1,24.5,Denver,Oakland,-2,2,201209300den,76787.0,4.0,10.0
1528,Denver_Sunday 10/01/00,Denver,2000,Sunday 10/01/00,New England,19-28,Week 5,-8.5,0,-9,0,-17.5,Denver,New England,1,2,200010010den,75684.0,5.0,
1529,Denver_Sunday 10/03/99,Denver,1999,Sunday 10/03/99,N.Y. Jets,13-21,Week 4,-5.5,0,-8,0,-13.5,Denver,N.Y. Jets,2,2,199910030den,74181.0,4.0,
1530,Denver_Sunday 10/04/09,Dallas,2009,Sunday 10/04/09,@ Denver,10-17,Week 4,-1.0,0,-7,0,-8.0,Denver,Dallas,1,-1,200910040den,76440.0,4.0,15.0
1531,Denver_Sunday 10/05/08,Denver,2008,Sunday 10/05/08,Tampa Bay,16-13,Week 5,-3.5,0,3,1,-0.5,Denver,Tampa Bay,-1,-3,200810050den,75480.0,5.0,7.0
1532,Denver_Sunday 10/05/14,Denver,2014,Sunday 10/05/14,Arizona,41-20,Week 5,-8.0,1,21,1,13.0,Denver,Arizona,1,1,201410050den,76895.0,5.0,3.0
1537,Denver_Sunday 10/09/11,San Diego,2011,Sunday 10/09/11,@ Denver,29-24,Week 5,-3.5,1,5,1,1.5,Denver,San Diego,-1,2,201110090den,74895.0,5.0,9.0
1539,Denver_Sunday 10/11/09,New England,2009,Sunday 10/11/09,@ Denver,17-20,Week 5,-3.0,0,-3,0,-6.0,Denver,New England,-1,1,200910110den,76011.0,5.0,3.0
1540,Denver_Sunday 10/12/03,Denver,2003,Sunday 10/12/03,Pittsburgh,17-14,Week 6,-7.0,0,3,1,-4.0,Denver,Pittsburgh,2,1,200310120den,75974.0,6.0,4.0
1541,Denver_Sunday 10/12/08,Denver,2008,Sunday 10/12/08,Jacksonville,17-24,Week 6,-3.5,0,-7,0,-10.5,Denver,Jacksonville,3,-2,200810120den,75674.0,6.0,11.0
1542,Denver_Sunday 10/13/13,Denver,2013,Sunday 10/13/13,Jacksonville,35-19,Week 6,-26.5,0,16,1,-10.5,Denver,Jacksonville,1,-2,201310130den,76862.0,6.0,1.0
