,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
11,E1,08/08/10,Cardiff,Sheffield United,1,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Cardiff1011,Sheffield United1011,E11011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Wigan,Wolves,1,1
26,E1,21/08/10,Cardiff,Doncaster,4,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Cardiff1011,Doncaster1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Blackburn,West Ham,3,0
49,E1,11/09/10,Cardiff,Hull,2,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Cardiff1011,Hull1011,E11011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Sunderland,Burnley,3,0
86,E1,25/09/10,Cardiff,Millwall,2,1,0.5780346820809249,0.2857142857142857,0.2,1011,Cardiff1011,Millwall1011,E11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Sunderland,Birmingham,3,0
97,E1,28/09/10,Cardiff,Crystal Palace,0,0,0.6535947712418301,0.2631578947368421,0.15384615384615385,1011,Cardiff1011,Crystal Palace1011,E11011,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Chelsea,Bolton,1,1
121,E1,16/10/10,Cardiff,Bristol City,3,2,0.6535947712418301,0.25,0.16666666666666666,1011,Cardiff1011,Bristol City1011,E11011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Liverpool,Man City,3,0
157,E1,30/10/10,Cardiff,Norwich,3,1,0.5780346820809249,0.2857142857142857,0.2,1011,Cardiff1011,Norwich1011,E11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Tottenham,Wolves,3,0
179,E1,07/11/10,Cardiff,Swansea,0,1,0.5235602094240838,0.29411764705882354,0.25,1011,Cardiff1011,Swansea1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Liverpool,Wolves,0,3
206,E1,20/11/10,Cardiff,Nott'm Forest,0,2,0.5464480874316939,0.2857142857142857,0.23809523809523808,1011,Cardiff1011,Nott'm Forest1011,E11011,0.07025761124121765,0.5105762217359592,0.26695842450765866,0.2224653537563822,Aston Villa,West Ham,0,3
228,E1,04/12/10,Cardiff,Preston,1,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1011,Cardiff1011,Preston1011,E11011,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Man City,Portsmouth,1,1
255,E1,26/12/10,Cardiff,Coventry,2,0,0.5988023952095809,0.2777777777777778,0.19047619047619047,1011,Cardiff1011,Coventry1011,E11011,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Man United,Everton,3,0
295,E1,04/01/11,Cardiff,Leeds,2,1,0.48780487804878053,0.29411764705882354,0.2857142857142857,1011,Cardiff1011,Leeds1011,E11011,0.06763681082188988,0.4569015166058744,0.2754847379535419,0.26761374544058353,Portsmouth,Hull,3,0
309,E1,22/01/11,Cardiff,Watford,4,2,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Cardiff1011,Watford1011,E11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Chelsea,Aston Villa,3,0
328,E1,01/02/11,Cardiff,Reading,2,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Cardiff1011,Reading1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,West Ham,Sunderland,1,1
352,E1,12/02/11,Cardiff,Scunthorpe,1,0,0.7518796992481203,0.2,0.11764705882352941,1011,Cardiff1011,Scunthorpe1011,E11011,0.06952675807164965,0.7030022330659168,0.1869985939955339,0.10999917293854934,West Ham,Wigan,3,0
362,E1,15/02/11,Cardiff,Burnley,1,1,0.5,0.30303030303030304,0.26666666666666666,1011,Cardiff1011,Burnley1011,E11011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Tottenham,Bolton,1,1
378,E1,22/02/11,Cardiff,Leicester,2,0,0.4,0.30303030303030304,0.36363636363636365,1011,Cardiff1011,Leicester1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Man City,West Ham,3,0
405,E1,05/03/11,Cardiff,Ipswich,0,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Cardiff1011,Ipswich1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Blackpool,Derby,0,3
437,E1,13/03/11,Cardiff,Barnsley,2,2,0.6369426751592356,0.26666666666666666,0.16666666666666666,1011,Cardiff1011,Barnsley1011,E11011,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,Swansea,Watford,1,1
456,E1,02/04/11,Cardiff,Derby,4,1,0.5988023952095809,0.2777777777777778,0.19047619047619047,1011,Cardiff1011,Derby1011,E11011,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Plymouth,Watford,3,0
494,E1,16/04/11,Cardiff,Portsmouth,3,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Cardiff1011,Portsmouth1011,E11011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Preston,Reading,3,0
