,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
110,E0,09/11/10,Stoke,Birmingham,3,2,0.47619047619047616,0.3125,0.26666666666666666,1011,Stoke1011,Birmingham1011,E01011,0.05535714285714288,0.45121263395375066,0.2961082910321489,0.25267907501410036,Tottenham,Sunderland,3,0
121,E0,13/11/10,Man City,Birmingham,0,0,0.7142857142857143,0.2222222222222222,0.11764705882352941,1011,Man City1011,Birmingham1011,E01011,0.05415499533146595,0.6775907883082374,0.21080602302922938,0.11160318866253321,Liverpool,Man City,1,1
143,E0,27/11/10,Fulham,Birmingham,1,1,0.5,0.30303030303030304,0.25,1011,Fulham1011,Birmingham1011,E01011,0.05303030303030298,0.47482014388489213,0.2877697841726619,0.23741007194244607,Portsmouth,Burnley,1,1
167,E0,12/12/10,Wolves,Birmingham,1,0,0.4166666666666667,0.3076923076923077,0.3333333333333333,1011,Wolves1011,Birmingham1011,E01011,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,Arsenal,Hull,3,0
200,E0,04/01/11,Blackpool,Birmingham,1,2,0.4347826086956522,0.3076923076923077,0.3076923076923077,1011,Blackpool1011,Birmingham1011,E01011,0.05016722408026775,0.41401273885350315,0.2929936305732484,0.2929936305732484,Chelsea,Sunderland,0,3
226,E0,22/01/11,Man United,Birmingham,5,0,0.8333333333333334,0.15384615384615385,0.06666666666666667,1011,Man United1011,Birmingham1011,E01011,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Everton,Wigan,3,0
253,E0,06/02/11,West Ham,Birmingham,0,1,0.5,0.2857142857142857,0.26666666666666666,1011,West Ham1011,Birmingham1011,E01011,0.05238095238095242,0.4751131221719457,0.27149321266968324,0.25339366515837103,Wigan,Bolton,0,3
287,E0,09/03/11,Everton,Birmingham,1,1,0.6535947712418301,0.25,0.15384615384615385,1011,Everton1011,Birmingham1011,E01011,0.05744092508798393,0.6180910495661476,0.23641982645905146,0.1454891239748009,Tottenham,Blackburn,1,1
295,E0,19/03/11,Wigan,Birmingham,2,1,0.47619047619047616,0.30303030303030304,0.2777777777777778,1011,Wigan1011,Birmingham1011,E01011,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Portsmouth,Hull,3,0
308,E0,09/04/11,Blackburn,Birmingham,1,1,0.5,0.30303030303030304,0.25,1011,Blackburn1011,Birmingham1011,E01011,0.05303030303030298,0.47482014388489213,0.2877697841726619,0.23741007194244607,Man United,Bolton,1,1
325,E0,20/04/11,Chelsea,Birmingham,3,1,0.8333333333333334,0.15384615384615385,0.06666666666666667,1011,Chelsea1011,Birmingham1011,E01011,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Everton,West Ham,3,0
330,E0,23/04/11,Liverpool,Birmingham,5,0,0.6944444444444444,0.23094688221709006,0.13333333333333333,1011,Liverpool1011,Birmingham1011,E01011,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Liverpool,Fulham,3,0
352,E0,07/05/11,Newcastle,Birmingham,2,1,0.5235602094240838,0.29411764705882354,0.23809523809523808,1011,Newcastle1011,Birmingham1011,E01011,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,West Ham,Wigan,3,0
377,E0,22/05/11,Tottenham,Birmingham,2,1,0.6535947712418301,0.25,0.15384615384615385,1011,Tottenham1011,Birmingham1011,E01011,0.05744092508798393,0.6180910495661476,0.23641982645905146,0.1454891239748009,Man United,Stoke,3,0
